국가명,금액
미국 USD,"1,450.20"
유럽연합 EUR,"1,450.20"
일본 JPY (100엔),893.62
중국 CNY,184.92
홍콩 HKD,170.31
대만 TWD,42.16
영국 GBP,"1,696.05"
오만 OMR,"3,459.31"
캐나다 CAD,983.89
스위스 CHF,"1,508.27"
스웨덴 SEK,128.56
호주 AUD,874.66
뉴질랜드 NZD,811.93
체코 CZK,57.68
칠레 CLP,1.41
튀르키예 TRY,41.22
몽골 MNT,0.39
이스라엘 ILS,361.75
덴마크 DKK,194.47
노르웨이 NOK,125.57
사우디아라비아 SAR,355.11
쿠웨이트 KWD,"4,332.04"
바레인 BHD,"3,536.38"
아랍에미리트 AED,362.62
요르단 JOD,"1,878.42"
이집트 EGP,28.19
태국 THB,37.05
싱가포르 SGD,995.48
말레이시아 MYR,282.37
인도네시아 IDR 100,8.53
카타르 QAR,365.18
카자흐스탄 KZT,2.96
브루나이 BND,995.48
인도 INR,16.07
파키스탄 PKR,4.78
방글라데시 BDT,12.13
필리핀 PHP,23.94
멕시코 MXN,79.65
브라질 BRL,266.57
베트남 VND 100,5.39
남아프리카 공화국 ZAR,70.96
러시아 RUB,14.39
헝가리 HUF,3.69
폴란드 PLN,336.99
스리랑카 LKR,4.36
알제리 DZD,9.89
케냐 KES,9.90
콜롬비아 COP,0.34
탄자니아 TZS,0.52
네팔 NPR,10.04
루마니아 RON,291.70
리비아 LYD,277.03
마카오 MOP,165.19
미얀마 MMK,0.63
에티오피아 ETB,23.45
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.33
피지 FJD,587.46
