

미국 USD,"1,332.00","1,355.31","1,308.69","1,345.00","1,319.00",1.000
유럽연합 EUR,"1,429.70","1,458.15","1,401.25","1,443.99","1,415.41",1.073
일본 JPY (100엔),885.79,901.29,870.29,894.47,877.11,0.665
중국 CNY,184.37,193.58,175.16,186.21,182.53,0.138
홍콩 HKD,170.38,173.73,167.03,172.08,168.68,0.128
대만 TWD,42.41,47.96,38.17,N/A,N/A,0.032
영국 GBP,"1,674.19","1,707.17","1,641.21","1,690.93","1,657.45",1.257
오만 OMR,"3,459.83","3,702.01","3,217.65",N/A,N/A,2.598
캐나다 CAD,983.75,"1,003.12",964.38,993.58,973.92,0.739
스위스 CHF,"1,504.40","1,534.03","1,474.77","1,519.44","1,489.36",1.129
스웨덴 SEK,126.72,130.90,119.50,127.98,125.46,0.095
호주 AUD,864.27,881.29,847.25,872.91,855.63,0.649
뉴질랜드 NZD,811.52,827.50,795.54,819.63,803.41,0.609
체코 CZK,56.30,61.08,51.24,56.91,55.69,0.042
칠레 CLP,1.39,1.52,1.26,N/A,N/A,0.001
튀르키예 TRY,43.31,N/A,N/A,43.78,42.84,0.033
몽골 MNT,0.39,N/A,N/A,N/A,N/A,0.000
이스라엘 ILS,364.71,401.18,335.54,N/A,N/A,0.274
덴마크 DKK,191.78,198.10,180.85,193.69,189.87,0.144
노르웨이 NOK,125.89,130.04,118.72,127.14,124.64,0.095
사우디아라비아 SAR,355.16,377.53,330.66,358.71,351.61,0.267
쿠웨이트 KWD,"4,320.89","4,601.74","3,975.22","4,364.09","4,277.69",3.244
바레인 BHD,"3,533.25","3,759.37","3,250.59","3,568.58","3,497.92",2.653
아랍에미리트 AED,362.66,382.60,337.64,366.28,359.04,0.272
요르단 JOD,"1,878.31","2,045.47","1,728.05",N/A,N/A,1.410
이집트 EGP,43.11,N/A,N/A,N/A,N/A,0.032
태국 THB,36.90,38.74,34.69,37.26,36.54,0.028
싱가포르 SGD,988.09,"1,007.75",968.43,997.97,978.21,0.742
말레이시아 MYR,278.78,299.40,258.16,N/A,276.00,0.209
인도네시아 IDR 100,8.56,9.41,7.71,8.64,8.48,0.006
카타르 QAR,365.31,N/A,N/A,N/A,N/A,0.274
카자흐스탄 KZT,2.98,N/A,N/A,N/A,N/A,0.002
브루나이 BND,988.09,"1,027.61",928.81,N/A,N/A,0.742
인도 INR,16.04,N/A,N/A,N/A,N/A,0.012
파키스탄 PKR,4.77,N/A,N/A,N/A,N/A,0.004
방글라데시 BDT,12.14,N/A,N/A,N/A,N/A,0.009
필리핀 PHP,23.75,26.12,21.81,23.98,23.52,0.018
멕시코 MXN,77.92,86.10,69.74,78.69,77.15,0.059
브라질 BRL,267.79,295.10,241.02,N/A,264.58,0.201
베트남 VND 100,5.46,6.10,4.82,5.51,5.41,0.004
남아프리카 공화국 ZAR,69.88,75.47,64.29,70.71,69.05,0.053
러시아 RUB,14.52,15.89,11.98,15.02,14.02,0.011
헝가리 HUF,3.68,4.02,3.39,3.72,3.64,0.003
폴란드 PLN,329.37,355.71,303.03,332.99,325.75,0.247
스리랑카 LKR,4.25,N/A,N/A,N/A,N/A,0.003
알제리 DZD,9.91,N/A,N/A,N/A,N/A,0.007
케냐 KES,8.85,N/A,N/A,N/A,N/A,0.007
콜롬비아 COP,0.34,N/A,N/A,N/A,N/A,0.000
탄자니아 TZS,0.53,N/A,N/A,N/A,N/A,0.000
네팔 NPR,10.03,N/A,N/A,N/A,N/A,0.008
루마니아 RON,287.29,N/A,N/A,N/A,N/A,0.216
리비아 LYD,274.65,N/A,N/A,277.39,271.91,0.206
마카오 MOP,165.30,N/A,N/A,N/A,N/A,0.124
미얀마 MMK,0.63,N/A,N/A,N/A,N/A,0.001
에티오피아 ETB,23.51,N/A,N/A,N/A,N/A,0.018
우즈베키스탄 UZS,0.11,N/A,N/A,N/A,N/A,0.000
캄보디아 KHR,0.33,N/A,N/A,N/A,N/A,0.000
피지 FJD,591.54,N/A,N/A,N/A,N/A,0.444
