국가명,금액
미국 USD,"1,469.29"
유럽연합 EUR,"1,469.29"
일본 JPY (100엔),890.81
중국 CNY,186.87
홍콩 HKD,172.74
대만 TWD,42.32
영국 GBP,"1,717.02"
오만 OMR,"3,514.38"
캐나다 CAD,997.24
스위스 CHF,"1,497.34"
스웨덴 SEK,128.43
호주 AUD,896.36
뉴질랜드 NZD,821.88
체코 CZK,57.97
칠레 CLP,1.44
튀르키예 TRY,41.95
몽골 MNT,0.40
이스라엘 ILS,365.40
덴마크 DKK,196.98
노르웨이 NOK,126.86
사우디아라비아 SAR,360.71
쿠웨이트 KWD,"4,401.00"
바레인 BHD,"3,588.95"
아랍에미리트 AED,368.44
요르단 JOD,"1,908.32"
이집트 EGP,28.45
태국 THB,37.21
싱가포르 SGD,"1,006.32"
말레이시아 MYR,284.99
인도네시아 IDR 100,8.56
카타르 QAR,370.94
카자흐스탄 KZT,3.02
브루나이 BND,"1,006.32"
인도 INR,16.26
파키스탄 PKR,4.87
방글라데시 BDT,12.33
필리핀 PHP,23.93
멕시코 MXN,82.85
브라질 BRL,270.11
베트남 VND 100,5.42
남아프리카 공화국 ZAR,73.04
러시아 RUB,14.52
헝가리 HUF,3.77
폴란드 PLN,344.93
스리랑카 LKR,4.53
알제리 DZD,10.07
케냐 KES,10.41
콜롬비아 COP,0.36
탄자니아 TZS,0.52
네팔 NPR,10.16
루마니아 RON,295.70
리비아 LYD,279.91
마카오 MOP,167.62
미얀마 MMK,0.64
에티오피아 ETB,23.79
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.33
피지 FJD,604.66
