국가명,금액
미국 USD,"1,506.65"
유럽연합 EUR,"1,506.65"
일본 JPY (100엔),872.27
중국 CNY,189.66
홍콩 HKD,177.09
대만 TWD,42.41
영국 GBP,"1,793.10"
오만 OMR,"3,591.00"
캐나다 CAD,"1,010.71"
스위스 CHF,"1,546.25"
스웨덴 SEK,130.50
호주 AUD,930.63
뉴질랜드 NZD,839.94
체코 CZK,59.47
칠레 CLP,1.52
튀르키예 TRY,41.83
몽골 MNT,0.41
이스라엘 ILS,381.66
덴마크 DKK,201.99
노르웨이 NOK,128.14
사우디아라비아 SAR,368.60
쿠웨이트 KWD,"4,522.41"
바레인 BHD,"3,667.21"
아랍에미리트 AED,376.40
요르단 JOD,"1,949.93"
이집트 EGP,28.78
태국 THB,38.46
싱가포르 SGD,"1,028.53"
말레이시아 MYR,295.63
인도네시아 IDR 100,8.56
카타르 QAR,379.12
카자흐스탄 KZT,2.91
브루나이 BND,"1,028.53"
인도 INR,16.55
파키스탄 PKR,4.96
방글라데시 BDT,11.77
필리핀 PHP,23.71
멕시코 MXN,78.24
브라질 BRL,254.83
베트남 VND 100,5.45
남아프리카 공화국 ZAR,76.55
러시아 RUB,15.62
헝가리 HUF,3.84
폴란드 PLN,351.78
스리랑카 LKR,4.56
알제리 DZD,10.28
케냐 KES,10.63
콜롬비아 COP,0.35
탄자니아 TZS,0.52
네팔 NPR,10.34
루마니아 RON,303.25
리비아 LYD,285.95
마카오 MOP,171.80
미얀마 MMK,0.66
에티오피아 ETB,23.93
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.34
피지 FJD,620.05
