국가명,금액
미국 USD,"1,480.04"
유럽연합 EUR,"1,480.04"
일본 JPY (100엔),874.43
중국 CNY,188.96
홍콩 HKD,175.12
대만 TWD,42.31
영국 GBP,"1,722.31"
오만 OMR,"3,554.08"
캐나다 CAD,"1,002.16"
스위스 CHF,"1,509.02"
스웨덴 SEK,126.63
호주 AUD,906.44
뉴질랜드 NZD,826.41
체코 CZK,59.64
칠레 CLP,1.50
튀르키예 TRY,42.38
몽골 MNT,0.40
이스라엘 ILS,370.19
덴마크 DKK,198.38
노르웨이 NOK,126.53
사우디아라비아 SAR,364.76
쿠웨이트 KWD,"4,448.06"
바레인 BHD,"3,628.65"
아랍에미리트 AED,372.46
요르단 JOD,"1,929.48"
이집트 EGP,29.20
태국 THB,37.41
싱가포르 SGD,"1,011.95"
말레이시아 MYR,289.86
인도네시아 IDR 100,8.52
카타르 QAR,375.34
카자흐스탄 KZT,3.10
브루나이 BND,"1,011.95"
인도 INR,16.38
파키스탄 PKR,4.92
방글라데시 BDT,11.69
필리핀 PHP,23.65
멕시코 MXN,81.24
브라질 BRL,266.74
베트남 VND 100,5.38
남아프리카 공화국 ZAR,74.39
러시아 RUB,14.98
헝가리 HUF,3.84
폴란드 PLN,346.92
스리랑카 LKR,4.54
알제리 DZD,10.18
케냐 KES,10.48
콜롬비아 COP,0.36
탄자니아 TZS,0.53
네팔 NPR,10.24
루마니아 RON,297.44
리비아 LYD,281.74
마카오 MOP,169.94
미얀마 MMK,0.65
에티오피아 ETB,23.82
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.34
피지 FJD,609.99
