국가명,금액
미국 USD,"1,483.74"
유럽연합 EUR,"1,483.74"
일본 JPY (100엔),938.20
중국 CNY,188.80
홍콩 HKD,172.49
대만 TWD,41.84
영국 GBP,"1,757.11"
오만 OMR,"3,493.60"
캐나다 CAD,991.27
스위스 CHF,"1,583.10"
스웨덴 SEK,129.48
호주 AUD,894.76
뉴질랜드 NZD,825.49
체코 CZK,59.23
칠레 CLP,1.42
튀르키예 TRY,39.45
몽골 MNT,0.40
이스라엘 ILS,357.52
덴마크 DKK,198.85
노르웨이 NOK,123.88
사우디아라비아 SAR,358.36
쿠웨이트 KWD,"4,403.20"
바레인 BHD,"3,567.73"
아랍에미리트 AED,366.19
요르단 JOD,"1,897.04"
이집트 EGP,27.82
태국 THB,39.67
싱가포르 SGD,"1,029.23"
말레이시아 MYR,308.06
인도네시아 IDR 100,8.72
카타르 QAR,369.00
카자흐스탄 KZT,2.80
브루나이 BND,"1,029.27"
인도 INR,16.02
파키스탄 PKR,4.82
방글라데시 BDT,11.26
필리핀 PHP,23.87
멕시코 MXN,67.58
브라질 BRL,240.88
베트남 VND 100,5.45
남아프리카 공화국 ZAR,75.14
러시아 RUB,14.85
헝가리 HUF,3.74
폴란드 PLN,347.02
스리랑카 LKR,4.47
알제리 DZD,10.14
케냐 KES,10.45
콜롬비아 COP,0.32
탄자니아 TZS,0.49
네팔 NPR,10.01
루마니아 RON,298.34
리비아 LYD,282.30
마카오 MOP,167.39
미얀마 MMK,0.64
에티오피아 ETB,11.77
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.33
피지 FJD,604.71
