국가명,금액
미국 USD,"1,485.43"
유럽연합 EUR,"1,485.43"
일본 JPY (100엔),938.18
중국 CNY,188.56
홍콩 HKD,171.98
대만 TWD,41.80
영국 GBP,"1,760.74"
오만 OMR,"3,482.43"
캐나다 CAD,988.97
스위스 CHF,"1,585.69"
스웨덴 SEK,130.05
호주 AUD,896.26
뉴질랜드 NZD,828.35
체코 CZK,59.34
칠레 CLP,1.42
튀르키예 TRY,39.41
몽골 MNT,0.40
이스라엘 ILS,359.78
덴마크 DKK,199.07
노르웨이 NOK,125.25
사우디아라비아 SAR,357.16
쿠웨이트 KWD,"4,397.90"
바레인 BHD,"3,556.80"
아랍에미리트 AED,365.01
요르단 JOD,"1,890.97"
이집트 EGP,27.70
태국 THB,39.71
싱가포르 SGD,"1,029.29"
말레이시아 MYR,308.53
인도네시아 IDR 100,8.70
카타르 QAR,367.82
카자흐스탄 KZT,2.80
브루나이 BND,"1,029.29"
인도 INR,15.97
파키스탄 PKR,4.81
방글라데시 BDT,11.22
필리핀 PHP,23.84
멕시코 MXN,67.16
브라질 BRL,239.44
베트남 VND 100,5.45
남아프리카 공화국 ZAR,75.14
러시아 RUB,14.84
헝가리 HUF,3.77
폴란드 PLN,346.95
스리랑카 LKR,4.48
알제리 DZD,10.12
케냐 KES,10.41
콜롬비아 COP,0.32
탄자니아 TZS,0.49
네팔 NPR,9.98
루마니아 RON,298.75
리비아 LYD,281.63
마카오 MOP,166.88
미얀마 MMK,0.64
에티오피아 ETB,11.80
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.33
피지 FJD,604.66
