국가명,금액
미국 USD,"1,475.14"
유럽연합 EUR,"1,475.14"
일본 JPY (100엔),902.23
중국 CNY,192.96
홍콩 HKD,179.68
대만 TWD,42.89
영국 GBP,"1,769.52"
오만 OMR,"3,632.18"
캐나다 CAD,"1,000.89"
스위스 CHF,"1,583.72"
스웨덴 SEK,126.95
호주 AUD,910.84
뉴질랜드 NZD,821.55
체코 CZK,58.32
칠레 CLP,1.44
튀르키예 TRY,40.55
몽골 MNT,0.41
이스라엘 ILS,374.06
덴마크 DKK,197.76
노르웨이 NOK,126.52
사우디아라비아 SAR,372.51
쿠웨이트 KWD,"4,548.41"
바레인 BHD,"3,710.04"
아랍에미리트 AED,380.75
요르단 JOD,"1,972.50"
이집트 EGP,28.13
태국 THB,40.37
싱가포르 SGD,"1,041.56"
말레이시아 MYR,312.97
인도네시아 IDR 100,8.79
카타르 QAR,383.47
카자흐스탄 KZT,2.82
브루나이 BND,"1,041.56"
인도 INR,16.57
파키스탄 PKR,5.03
방글라데시 BDT,11.70
필리핀 PHP,23.72
멕시코 MXN,68.92
브라질 BRL,242.26
베트남 VND 100,5.50
남아프리카 공화국 ZAR,77.23
러시아 RUB,13.92
헝가리 HUF,3.60
폴란드 PLN,340.18
스리랑카 LKR,4.81
알제리 DZD,10.48
케냐 KES,10.80
콜롬비아 COP,0.32
탄자니아 TZS,0.53
네팔 NPR,10.35
루마니아 RON,296.42
리비아 LYD,286.69
마카오 MOP,174.35
미얀마 MMK,0.67
에티오피아 ETB,11.36
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.35
피지 FJD,616.18
