국가명,금액
미국 USD,"1,461.08"
유럽연합 EUR,"1,461.08"
일본 JPY (100엔),879.94
중국 CNY,188.09
홍콩 HKD,173.57
대만 TWD,42.01
영국 GBP,"1,704.19"
오만 OMR,"3,524.77"
캐나다 CAD,992.58
스위스 CHF,"1,496.97"
스웨덴 SEK,125.48
호주 AUD,898.67
뉴질랜드 NZD,815.08
체코 CZK,58.45
칠레 CLP,1.46
튀르키예 TRY,42.04
몽골 MNT,0.40
이스라엘 ILS,365.77
덴마크 DKK,195.90
노르웨이 NOK,125.25
사우디아라비아 SAR,361.81
쿠웨이트 KWD,"4,414.16"
바레인 BHD,"3,599.56"
아랍에미리트 AED,369.45
요르단 JOD,"1,913.96"
이집트 EGP,28.30
태국 THB,36.92
싱가포르 SGD,"1,003.92"
말레이시아 MYR,286.35
인도네시아 IDR 100,8.49
카타르 QAR,372.19
카자흐스탄 KZT,3.08
브루나이 BND,"1,003.92"
인도 INR,16.26
파키스탄 PKR,4.87
방글라데시 BDT,12.36
필리핀 PHP,23.72
멕시코 MXN,80.38
브라질 BRL,267.32
베트남 VND 100,5.35
남아프리카 공화국 ZAR,73.45
러시아 RUB,14.86
헝가리 HUF,3.76
폴란드 PLN,339.20
스리랑카 LKR,4.55
알제리 DZD,10.11
케냐 KES,10.09
콜롬비아 COP,0.35
탄자니아 TZS,0.52
네팔 NPR,10.16
루마니아 RON,293.88
리비아 LYD,279.64
마카오 MOP,168.42
미얀마 MMK,0.65
에티오피아 ETB,23.64
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.33
피지 FJD,597.49
