국가명,금액
미국 USD,"1,494.06"
유럽연합 EUR,"1,494.06"
일본 JPY (100엔),911.40
중국 CNY,193.74
홍콩 HKD,179.32
대만 TWD,43.23
영국 GBP,"1,801.09"
오만 OMR,"3,621.46"
캐나다 CAD,"1,002.55"
스위스 CHF,"1,591.03"
스웨덴 SEK,128.86
호주 AUD,918.77
뉴질랜드 NZD,832.05
체코 CZK,59.19
칠레 CLP,1.44
튀르키예 TRY,40.57
몽골 MNT,0.41
이스라엘 ILS,373.21
덴마크 DKK,200.36
노르웨이 NOK,126.76
사우디아라비아 SAR,371.24
쿠웨이트 KWD,"4,540.95"
바레인 BHD,"3,698.51"
아랍에미리트 AED,379.61
요르단 JOD,"1,966.57"
이집트 EGP,28.32
태국 THB,40.64
싱가포르 SGD,"1,050.44"
말레이시아 MYR,317.25
인도네시아 IDR 100,8.92
카타르 QAR,382.47
카자흐스탄 KZT,2.83
브루나이 BND,"1,050.44"
인도 INR,16.53
파키스탄 PKR,5.01
방글라데시 BDT,11.67
필리핀 PHP,23.85
멕시코 MXN,69.26
브라질 BRL,242.99
베트남 VND 100,5.52
남아프리카 공화국 ZAR,79.13
러시아 RUB,14.29
헝가리 HUF,3.67
폴란드 PLN,345.22
스리랑카 LKR,4.77
알제리 DZD,10.45
케냐 KES,10.81
콜롬비아 COP,0.32
탄자니아 TZS,0.52
네팔 NPR,10.33
루마니아 RON,300.40
리비아 LYD,287.30
마카오 MOP,174.00
미얀마 MMK,0.66
에티오피아 ETB,11.31
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.34
피지 FJD,619.21
