

미국 USD,"1,334.40","1,357.75","1,311.05","1,347.40","1,321.40",1.000
유럽연합 EUR,"1,442.35","1,471.05","1,413.65","1,456.77","1,427.93",1.081
일본 JPY (100엔),889.51,905.07,873.95,898.22,880.80,0.667
중국 CNY,185.24,194.50,175.98,187.09,183.39,0.139
홍콩 HKD,170.61,173.97,167.25,172.31,168.91,0.128
대만 TWD,42.49,48.05,38.25,N/A,N/A,0.032
영국 GBP,"1,684.41","1,717.59","1,651.23","1,701.25","1,667.57",1.262
오만 OMR,"3,466.06","3,708.68","3,223.44",N/A,N/A,2.598
캐나다 CAD,986.69,"1,006.12",967.26,996.55,976.83,0.739
스위스 CHF,"1,513.01","1,542.81","1,483.21","1,528.14","1,497.88",1.134
스웨덴 SEK,128.81,133.06,121.47,130.09,127.53,0.097
호주 AUD,874.43,891.65,857.21,883.17,865.69,0.655
뉴질랜드 NZD,822.79,838.99,806.59,831.01,814.57,0.617
체코 CZK,56.82,61.64,51.71,57.44,56.20,0.043
칠레 CLP,1.39,1.52,1.26,N/A,N/A,0.001
튀르키예 TRY,43.16,N/A,N/A,43.63,42.69,0.032
몽골 MNT,0.39,N/A,N/A,N/A,N/A,0.000
이스라엘 ILS,362.88,399.16,333.85,N/A,N/A,0.272
덴마크 DKK,193.49,199.87,182.47,195.42,191.56,0.145
노르웨이 NOK,127.34,131.54,120.09,128.61,126.07,0.095
사우디아라비아 SAR,355.81,378.22,331.26,359.36,352.26,0.267
쿠웨이트 KWD,"4,335.28","4,617.07","3,988.46","4,378.63","4,291.93",3.249
바레인 BHD,"3,539.62","3,766.15","3,256.46","3,575.01","3,504.23",2.653
아랍에미리트 AED,363.30,383.28,338.24,366.93,359.67,0.272
요르단 JOD,"1,881.56","2,049.01","1,731.04",N/A,N/A,1.410
이집트 EGP,43.13,N/A,N/A,N/A,N/A,0.032
태국 THB,37.07,38.92,34.85,37.44,36.70,0.028
싱가포르 SGD,993.15,"1,012.91",973.39,"1,003.08",983.22,0.744
말레이시아 MYR,278.35,298.94,257.76,N/A,275.57,0.209
인도네시아 IDR 100,8.54,9.39,7.69,8.62,8.46,0.006
카타르 QAR,365.91,N/A,N/A,N/A,N/A,0.274
카자흐스탄 KZT,2.95,N/A,N/A,N/A,N/A,0.002
브루나이 BND,993.15,"1,032.87",933.57,N/A,N/A,0.744
인도 INR,16.10,N/A,N/A,N/A,N/A,0.012
파키스탄 PKR,4.77,N/A,N/A,N/A,N/A,0.004
방글라데시 BDT,12.16,N/A,N/A,N/A,N/A,0.009
필리핀 PHP,23.85,26.23,21.90,24.08,23.62,0.018
멕시코 MXN,78.20,86.41,69.99,78.98,77.42,0.059
브라질 BRL,270.79,298.41,243.72,N/A,267.55,0.203
베트남 VND 100,5.44,6.08,4.80,5.49,5.39,0.004
남아프리카 공화국 ZAR,70.53,76.17,64.89,71.37,69.69,0.053
러시아 RUB,14.45,15.82,11.93,14.95,13.95,0.011
헝가리 HUF,3.72,4.06,3.43,3.76,3.68,0.003
폴란드 PLN,334.19,360.92,307.46,337.86,330.52,0.250
스리랑카 LKR,4.28,N/A,N/A,N/A,N/A,0.003
알제리 DZD,9.92,N/A,N/A,N/A,N/A,0.007
케냐 KES,9.17,N/A,N/A,N/A,N/A,0.007
콜롬비아 COP,0.34,N/A,N/A,N/A,N/A,0.000
탄자니아 TZS,0.52,N/A,N/A,N/A,N/A,0.000
네팔 NPR,10.05,N/A,N/A,N/A,N/A,0.008
루마니아 RON,289.94,N/A,N/A,N/A,N/A,0.217
리비아 LYD,275.55,N/A,N/A,278.30,272.80,0.207
마카오 MOP,165.56,N/A,N/A,N/A,N/A,0.124
미얀마 MMK,0.64,N/A,N/A,N/A,N/A,0.001
에티오피아 ETB,23.54,N/A,N/A,N/A,N/A,0.018
우즈베키스탄 UZS,0.11,N/A,N/A,N/A,N/A,0.000
캄보디아 KHR,0.33,N/A,N/A,N/A,N/A,0.000
피지 FJD,589.80,N/A,N/A,N/A,N/A,0.442
