국가명,금액
미국 USD,"1,481.67"
유럽연합 EUR,"1,481.67"
일본 JPY (100엔),911.47
중국 CNY,188.21
홍콩 HKD,171.74
대만 TWD,41.74
영국 GBP,"1,759.18"
오만 OMR,"3,478.01"
캐나다 CAD,991.82
스위스 CHF,"1,572.06"
스웨덴 SEK,130.60
호주 AUD,908.65
뉴질랜드 NZD,833.33
체코 CZK,59.17
칠레 CLP,1.46
튀르키예 TRY,39.49
몽골 MNT,0.40
이스라엘 ILS,366.66
덴마크 DKK,198.64
노르웨이 NOK,126.38
사우디아라비아 SAR,356.81
쿠웨이트 KWD,"4,381.83"
바레인 BHD,"3,556.44"
아랍에미리트 AED,364.56
요르단 JOD,"1,888.58"
이집트 EGP,27.59
태국 THB,39.16
싱가포르 SGD,"1,024.17"
말레이시아 MYR,307.46
인도네시아 IDR 100,8.64
카타르 QAR,367.35
카자흐스탄 KZT,2.78
브루나이 BND,"1,024.17"
인도 INR,15.95
파키스탄 PKR,4.81
방글라데시 BDT,11.21
필리핀 PHP,23.71
멕시코 MXN,67.45
브라질 BRL,238.40
베트남 VND 100,5.39
남아프리카 공화국 ZAR,75.07
러시아 RUB,14.91
헝가리 HUF,3.77
폴란드 PLN,346.96
스리랑카 LKR,4.48
알제리 DZD,10.03
케냐 KES,10.40
콜롬비아 COP,0.32
탄자니아 TZS,0.49
네팔 NPR,9.97
루마니아 RON,297.82
리비아 LYD,281.28
마카오 MOP,166.65
미얀마 MMK,0.64
에티오피아 ETB,12.06
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.33
피지 FJD,600.41
