국가명,금액
미국 USD,"1,450.41"
유럽연합 EUR,"1,450.41"
일본 JPY (100엔),894.05
중국 CNY,184.94
홍콩 HKD,170.27
대만 TWD,42.14
영국 GBP,"1,697.70"
오만 OMR,"3,459.74"
캐나다 CAD,985.50
스위스 CHF,"1,508.32"
스웨덴 SEK,128.54
호주 AUD,874.72
뉴질랜드 NZD,812.05
체코 CZK,57.71
칠레 CLP,1.41
튀르키예 TRY,41.35
몽골 MNT,0.39
이스라엘 ILS,362.86
덴마크 DKK,194.51
노르웨이 NOK,125.73
사우디아라비아 SAR,355.17
쿠웨이트 KWD,"4,332.27"
바레인 BHD,"3,536.44"
아랍에미리트 AED,362.67
요르단 JOD,"1,878.70"
이집트 EGP,27.87
태국 THB,37.11
싱가포르 SGD,996.04
말레이시아 MYR,283.13
인도네시아 IDR 100,8.56
카타르 QAR,365.23
카자흐스탄 KZT,2.96
브루나이 BND,996.04
인도 INR,16.08
파키스탄 PKR,4.77
방글라데시 BDT,12.14
필리핀 PHP,23.99
멕시코 MXN,79.81
브라질 BRL,266.99
베트남 VND 100,5.39
남아프리카 공화국 ZAR,71.21
러시아 RUB,14.43
헝가리 HUF,3.69
폴란드 PLN,337.69
스리랑카 LKR,4.36
알제리 DZD,9.91
케냐 KES,9.90
콜롬비아 COP,0.34
탄자니아 TZS,0.52
네팔 NPR,10.04
루마니아 RON,291.77
리비아 LYD,277.08
마카오 MOP,165.24
미얀마 MMK,0.63
에티오피아 ETB,23.46
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.33
피지 FJD,594.47
