국가명,금액
미국 USD,"1,498.60"
유럽연합 EUR,"1,498.60"
일본 JPY (100엔),855.99
중국 CNY,189.79
홍콩 HKD,177.19
대만 TWD,42.42
영국 GBP,"1,777.75"
오만 OMR,"3,594.81"
캐나다 CAD,"1,016.68"
스위스 CHF,"1,539.23"
스웨덴 SEK,131.24
호주 AUD,933.92
뉴질랜드 NZD,841.89
체코 CZK,59.05
칠레 CLP,1.52
튀르키예 TRY,42.10
몽골 MNT,0.41
이스라엘 ILS,377.98
덴마크 DKK,200.88
노르웨이 NOK,129.17
사우디아라비아 SAR,369.00
쿠웨이트 KWD,"4,522.28"
바레인 BHD,"3,671.48"
아랍에미리트 AED,376.80
요르단 JOD,"1,953.28"
이집트 EGP,28.83
태국 THB,38.08
싱가포르 SGD,"1,026.14"
말레이시아 MYR,294.44
인도네시아 IDR 100,8.54
카타르 QAR,379.53
카자흐스탄 KZT,2.90
브루나이 BND,"1,026.14"
인도 INR,16.57
파키스탄 PKR,4.97
방글라데시 BDT,11.78
필리핀 PHP,23.76
멕시코 MXN,77.63
브라질 BRL,255.88
베트남 VND 100,5.45
남아프리카 공화국 ZAR,76.40
러시아 RUB,15.58
헝가리 HUF,3.81
폴란드 PLN,351.76
스리랑카 LKR,4.56
알제리 DZD,10.31
케냐 KES,10.77
콜롬비아 COP,0.35
탄자니아 TZS,0.52
네팔 NPR,10.36
루마니아 RON,301.31
리비아 LYD,285.09
마카오 MOP,171.90
미얀마 MMK,0.66
에티오피아 ETB,23.96
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.34
피지 FJD,619.48
