국가명,금액
미국 USD,"1,479.04"
유럽연합 EUR,"1,479.04"
일본 JPY (100엔),871.42
중국 CNY,188.30
홍콩 HKD,174.98
대만 TWD,42.34
영국 GBP,"1,737.89"
오만 OMR,"3,548.14"
캐나다 CAD,997.81
스위스 CHF,"1,492.98"
스웨덴 SEK,127.34
호주 AUD,904.22
뉴질랜드 NZD,834.56
체코 CZK,59.84
칠레 CLP,1.50
튀르키예 TRY,42.43
몽골 MNT,0.40
이스라엘 ILS,371.95
덴마크 DKK,198.21
노르웨이 NOK,127.55
사우디아라비아 SAR,364.20
쿠웨이트 KWD,"4,450.38"
바레인 BHD,"3,623.44"
아랍에미리트 AED,371.90
요르단 JOD,"1,926.66"
이집트 EGP,29.19
태국 THB,37.39
싱가포르 SGD,"1,011.44"
말레이시아 MYR,289.68
인도네시아 IDR 100,8.56
카타르 QAR,374.76
카자흐스탄 KZT,3.09
브루나이 BND,"1,011.44"
인도 INR,16.40
파키스탄 PKR,4.90
방글라데시 BDT,11.66
필리핀 PHP,23.45
멕시코 MXN,81.94
브라질 BRL,265.06
베트남 VND 100,5.36
남아프리카 공화국 ZAR,74.62
러시아 RUB,15.14
헝가리 HUF,3.82
폴란드 PLN,346.63
스리랑카 LKR,4.55
알제리 DZD,10.16
케냐 KES,10.35
콜롬비아 COP,0.36
탄자니아 TZS,0.53
네팔 NPR,10.25
루마니아 RON,297.28
리비아 LYD,282.27
마카오 MOP,169.79
미얀마 MMK,0.65
에티오피아 ETB,23.78
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.34
피지 FJD,602.82
