국가명,금액
미국 USD,"1,467.86"
유럽연합 EUR,"1,467.86"
일본 JPY (100엔),893.50
중국 CNY,189.88
홍콩 HKD,175.07
대만 TWD,42.31
영국 GBP,"1,715.54"
오만 OMR,"3,553.34"
캐나다 CAD,"1,000.91"
스위스 CHF,"1,503.30"
스웨덴 SEK,125.93
호주 AUD,899.32
뉴질랜드 NZD,815.81
체코 CZK,58.86
칠레 CLP,1.45
튀르키예 TRY,42.23
몽골 MNT,0.40
이스라엘 ILS,367.12
덴마크 DKK,196.82
노르웨이 NOK,124.54
사우디아라비아 SAR,364.74
쿠웨이트 KWD,"4,445.89"
바레인 BHD,"3,628.74"
아랍에미리트 AED,372.45
요르단 JOD,"1,929.48"
이집트 EGP,28.53
태국 THB,37.16
싱가포르 SGD,"1,010.45"
말레이시아 MYR,287.73
인도네시아 IDR 100,8.47
카타르 QAR,375.10
카자흐스탄 KZT,3.08
브루나이 BND,"1,010.45"
인도 INR,16.40
파키스탄 PKR,4.91
방글라데시 BDT,12.46
필리핀 PHP,23.80
멕시코 MXN,80.54
브라질 BRL,267.66
베트남 VND 100,5.39
남아프리카 공화국 ZAR,73.74
러시아 RUB,15.01
헝가리 HUF,3.77
폴란드 PLN,338.85
스리랑카 LKR,4.61
알제리 DZD,10.17
케냐 KES,10.13
콜롬비아 COP,0.35
탄자니아 TZS,0.53
네팔 NPR,10.24
루마니아 RON,294.98
리비아 LYD,280.87
마카오 MOP,169.90
미얀마 MMK,0.65
에티오피아 ETB,23.83
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.34
피지 FJD,606.98
