국가명,금액
미국 USD,"1,488.38"
유럽연합 EUR,"1,488.38"
일본 JPY (100엔),927.30
중국 CNY,189.55
홍콩 HKD,170.75
대만 TWD,41.73
영국 GBP,"1,783.99"
오만 OMR,"3,454.12"
캐나다 CAD,990.06
스위스 CHF,"1,578.96"
스웨덴 SEK,131.84
호주 AUD,915.37
뉴질랜드 NZD,842.36
체코 CZK,59.34
칠레 CLP,1.46
튀르키예 TRY,38.96
몽골 MNT,0.39
이스라엘 ILS,353.71
덴마크 DKK,199.58
노르웨이 NOK,127.79
사우디아라비아 SAR,354.45
쿠웨이트 KWD,"4,356.71"
바레인 BHD,"3,527.41"
아랍에미리트 AED,362.05
요르단 JOD,"1,875.60"
이집트 EGP,27.30
태국 THB,40.79
싱가포르 SGD,"1,035.95"
말레이시아 MYR,322.26
인도네시아 IDR 100,8.83
카타르 QAR,364.83
카자흐스탄 KZT,2.78
브루나이 BND,"1,035.95"
인도 INR,15.91
파키스탄 PKR,4.78
방글라데시 BDT,11.13
필리핀 PHP,23.80
멕시코 MXN,68.78
브라질 BRL,244.00
베트남 VND 100,5.42
남아프리카 공화국 ZAR,76.77
러시아 RUB,14.39
헝가리 HUF,3.78
폴란드 PLN,349.83
스리랑카 LKR,4.39
알제리 DZD,10.05
케냐 KES,10.31
콜롬비아 COP,0.32
탄자니아 TZS,0.49
네팔 NPR,9.93
루마니아 RON,299.18
리비아 LYD,279.95
마카오 MOP,165.85
미얀마 MMK,0.63
에티오피아 ETB,11.15
우즈베키스탄 UZS,0.10
캄보디아 KHR,0.33
피지 FJD,601.87
