국가명,금액
미국 USD,"1,468.53"
유럽연합 EUR,"1,468.53"
일본 JPY (100엔),892.71
중국 CNY,190.31
홍콩 HKD,176.21
대만 TWD,42.51
영국 GBP,"1,715.82"
오만 OMR,"3,584.51"
캐나다 CAD,"1,002.07"
스위스 CHF,"1,511.67"
스웨덴 SEK,125.75
호주 AUD,886.24
뉴질랜드 NZD,814.34
체코 CZK,58.10
칠레 CLP,1.43
튀르키예 TRY,42.31
몽골 MNT,0.41
이스라엘 ILS,363.98
덴마크 DKK,196.84
노르웨이 NOK,124.78
사우디아라비아 SAR,367.88
쿠웨이트 KWD,"4,474.85"
바레인 BHD,"3,660.57"
아랍에미리트 AED,375.75
요르단 JOD,"1,946.40"
이집트 EGP,28.55
태국 THB,37.48
싱가포르 SGD,"1,013.03"
말레이시아 MYR,288.49
인도네시아 IDR 100,8.55
카타르 QAR,378.39
카자흐스탄 KZT,3.09
브루나이 BND,"1,013.03"
인도 INR,16.52
파키스탄 PKR,4.96
방글라데시 BDT,12.57
필리핀 PHP,24.09
멕시코 MXN,80.80
브라질 BRL,263.26
베트남 VND 100,5.43
남아프리카 공화국 ZAR,72.06
러시아 RUB,14.64
헝가리 HUF,3.73
폴란드 PLN,338.52
스리랑카 LKR,4.58
알제리 DZD,10.26
케냐 KES,10.36
콜롬비아 COP,0.35
탄자니아 TZS,0.53
네팔 NPR,10.32
루마니아 RON,295.13
리비아 LYD,283.53
마카오 MOP,171.00
미얀마 MMK,0.66
에티오피아 ETB,24.25
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.34
피지 FJD,606.37
