국가명,금액
미국 USD,"1,477.79"
유럽연합 EUR,"1,477.79"
일본 JPY (100엔),918.55
중국 CNY,185.56
홍콩 HKD,169.35
대만 TWD,41.52
영국 GBP,"1,744.97"
오만 OMR,"3,428.92"
캐나다 CAD,977.67
스위스 CHF,"1,559.57"
스웨덴 SEK,129.67
호주 AUD,896.55
뉴질랜드 NZD,822.29
체코 CZK,59.02
칠레 CLP,1.45
튀르키예 TRY,38.81
몽골 MNT,0.39
이스라엘 ILS,357.69
덴마크 DKK,198.07
노르웨이 NOK,126.26
사우디아라비아 SAR,351.82
쿠웨이트 KWD,"4,332.46"
바레인 BHD,"3,501.68"
아랍에미리트 AED,359.41
요르단 JOD,"1,861.92"
이집트 EGP,27.07
태국 THB,38.91
싱가포르 SGD,"1,015.19"
말레이시아 MYR,303.86
인도네시아 IDR 100,8.54
카타르 QAR,362.02
카자흐스탄 KZT,2.73
브루나이 BND,"1,015.19"
인도 INR,15.75
파키스탄 PKR,4.74
방글라데시 BDT,11.05
필리핀 PHP,23.41
멕시코 MXN,68.77
브라질 BRL,240.59
베트남 VND 100,5.31
남아프리카 공화국 ZAR,74.56
러시아 RUB,14.43
헝가리 HUF,3.75
폴란드 PLN,346.45
스리랑카 LKR,4.40
알제리 DZD,9.84
케냐 KES,10.23
콜롬비아 COP,0.33
탄자니아 TZS,0.49
네팔 NPR,9.83
루마니아 RON,296.99
리비아 LYD,277.31
마카오 MOP,164.29
미얀마 MMK,0.63
에티오피아 ETB,11.90
우즈베키스탄 UZS,0.10
캄보디아 KHR,0.32
피지 FJD,599.46
