국가명,금액
미국 USD,"1,481.06"
유럽연합 EUR,"1,481.06"
일본 JPY (100엔),926.64
중국 CNY,187.94
홍콩 HKD,171.48
대만 TWD,41.63
영국 GBP,"1,757.29"
오만 OMR,"3,472.64"
캐나다 CAD,988.72
스위스 CHF,"1,576.28"
스웨덴 SEK,130.02
호주 AUD,898.66
뉴질랜드 NZD,828.87
체코 CZK,59.15
칠레 CLP,1.42
튀르키예 TRY,39.31
몽골 MNT,0.40
이스라엘 ILS,362.68
덴마크 DKK,198.53
노르웨이 NOK,125.71
사우디아라비아 SAR,356.22
쿠웨이트 KWD,"4,378.01"
바레인 BHD,"3,546.89"
아랍에미리트 AED,364.02
요르단 JOD,"1,887.22"
이집트 EGP,27.58
태국 THB,39.26
싱가포르 SGD,"1,024.87"
말레이시아 MYR,307.14
인도네시아 IDR 100,8.66
카타르 QAR,366.80
카자흐스탄 KZT,2.77
브루나이 BND,"1,024.87"
인도 INR,15.92
파키스탄 PKR,4.80
방글라데시 BDT,11.19
필리핀 PHP,23.69
멕시코 MXN,67.54
브라질 BRL,237.03
베트남 VND 100,5.38
남아프리카 공화국 ZAR,74.82
러시아 RUB,15.06
헝가리 HUF,3.77
폴란드 PLN,346.44
스리랑카 LKR,4.47
알제리 DZD,10.04
케냐 KES,10.38
콜롬비아 COP,0.32
탄자니아 TZS,0.49
네팔 NPR,9.95
루마니아 RON,297.94
리비아 LYD,280.23
마카오 MOP,166.40
미얀마 MMK,0.64
에티오피아 ETB,12.02
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.33
피지 FJD,604.19
