국가명,금액
미국 USD,"1,501.55"
유럽연합 EUR,"1,501.55"
일본 JPY (100엔),872.07
중국 CNY,189.37
홍콩 HKD,176.36
대만 TWD,42.33
영국 GBP,"1,788.10"
오만 OMR,"3,576.62"
캐나다 CAD,"1,009.86"
스위스 CHF,"1,539.32"
스웨덴 SEK,130.77
호주 AUD,934.09
뉴질랜드 NZD,842.17
체코 CZK,59.30
칠레 CLP,1.52
튀르키예 TRY,41.68
몽골 MNT,0.40
이스라엘 ILS,381.78
덴마크 DKK,201.23
노르웨이 NOK,128.37
사우디아라비아 SAR,367.13
쿠웨이트 KWD,"4,505.15"
바레인 BHD,"3,652.91"
아랍에미리트 AED,374.90
요르단 JOD,"1,942.17"
이집트 EGP,28.69
태국 THB,38.13
싱가포르 SGD,"1,026.73"
말레이시아 MYR,294.89
인도네시아 IDR 100,8.55
카타르 QAR,377.61
카자흐스탄 KZT,2.91
브루나이 BND,"1,026.73"
인도 INR,16.48
파키스탄 PKR,4.94
방글라데시 BDT,11.72
필리핀 PHP,23.58
멕시코 MXN,78.18
브라질 BRL,253.57
베트남 VND 100,5.42
남아프리카 공화국 ZAR,76.72
러시아 RUB,15.67
헝가리 HUF,3.83
폴란드 PLN,353.05
스리랑카 LKR,4.56
알제리 DZD,10.25
케냐 KES,10.67
콜롬비아 COP,0.35
탄자니아 TZS,0.52
네팔 NPR,10.30
루마니아 RON,302.19
리비아 LYD,283.92
마카오 MOP,171.14
미얀마 MMK,0.66
에티오피아 ETB,23.83
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.34
피지 FJD,619.93
