국가명,금액
미국 USD,"1,470.77"
유럽연합 EUR,"1,470.77"
일본 JPY (100엔),892.47
중국 CNY,190.30
홍콩 HKD,176.04
대만 TWD,42.40
영국 GBP,"1,711.61"
오만 OMR,"3,581.17"
캐나다 CAD,"1,003.82"
스위스 CHF,"1,517.30"
스웨덴 SEK,126.40
호주 AUD,885.80
뉴질랜드 NZD,813.06
체코 CZK,58.20
칠레 CLP,1.45
튀르키예 TRY,42.32
몽골 MNT,0.41
이스라엘 ILS,366.59
덴마크 DKK,197.09
노르웨이 NOK,125.30
사우디아라비아 SAR,367.61
쿠웨이트 KWD,"4,471.47"
바레인 BHD,"3,657.24"
아랍에미리트 AED,375.48
요르단 JOD,"1,945.95"
이집트 EGP,28.53
태국 THB,37.42
싱가포르 SGD,"1,013.34"
말레이시아 MYR,288.28
인도네시아 IDR 100,8.50
카타르 QAR,378.07
카자흐스탄 KZT,3.09
브루나이 BND,"1,013.34"
인도 INR,16.54
파키스탄 PKR,4.96
방글라데시 BDT,12.56
필리핀 PHP,23.99
멕시코 MXN,80.09
브라질 BRL,264.84
베트남 VND 100,5.42
남아프리카 공화국 ZAR,72.16
러시아 RUB,14.87
헝가리 HUF,3.73
폴란드 PLN,340.81
스리랑카 LKR,4.57
알제리 DZD,10.25
케냐 KES,10.33
콜롬비아 COP,0.35
탄자니아 TZS,0.53
네팔 NPR,10.32
루마니아 RON,295.53
리비아 LYD,282.62
마카오 MOP,170.84
미얀마 MMK,0.66
에티오피아 ETB,24.23
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.34
피지 FJD,606.07
