국가명,금액
미국 USD,"1,474.11"
유럽연합 EUR,"1,474.11"
일본 JPY (100엔),942.85
중국 CNY,187.34
홍콩 HKD,170.61
대만 TWD,41.56
영국 GBP,"1,747.68"
오만 OMR,"3,456.01"
캐나다 CAD,979.86
스위스 CHF,"1,567.53"
스웨덴 SEK,129.68
호주 AUD,893.90
뉴질랜드 NZD,822.64
체코 CZK,58.69
칠레 CLP,1.43
튀르키예 TRY,39.16
몽골 MNT,0.39
이스라엘 ILS,358.51
덴마크 DKK,197.54
노르웨이 NOK,124.45
사우디아라비아 SAR,354.57
쿠웨이트 KWD,"4,361.19"
바레인 BHD,"3,530.29"
아랍에미리트 AED,362.28
요르단 JOD,"1,876.73"
이집트 EGP,27.48
태국 THB,39.91
싱가포르 SGD,"1,024.05"
말레이시아 MYR,308.80
인도네시아 IDR 100,8.65
카타르 QAR,364.97
카자흐스탄 KZT,2.78
브루나이 BND,"1,024.05"
인도 INR,15.86
파키스탄 PKR,4.78
방글라데시 BDT,11.13
필리핀 PHP,23.76
멕시코 MXN,68.29
브라질 BRL,236.46
베트남 VND 100,5.42
남아프리카 공화국 ZAR,75.15
러시아 RUB,14.62
헝가리 HUF,3.73
폴란드 PLN,344.14
스리랑카 LKR,4.42
알제리 DZD,10.05
케냐 KES,10.31
콜롬비아 COP,0.32
탄자니아 TZS,0.49
네팔 NPR,9.91
루마니아 RON,296.36
리비아 LYD,278.79
마카오 MOP,165.56
미얀마 MMK,0.63
에티오피아 ETB,11.36
우즈베키스탄 UZS,0.10
캄보디아 KHR,0.33
피지 FJD,601.30
