국가명,금액
미국 USD,"1,470.69"
유럽연합 EUR,"1,470.69"
일본 JPY (100엔),891.65
중국 CNY,186.88
홍콩 HKD,172.91
대만 TWD,42.20
영국 GBP,"1,713.75"
오만 OMR,"3,517.23"
캐나다 CAD,997.61
스위스 CHF,"1,496.24"
스웨덴 SEK,128.26
호주 AUD,894.86
뉴질랜드 NZD,818.82
체코 CZK,58.02
칠레 CLP,1.43
튀르키예 TRY,42.11
몽골 MNT,0.40
이스라엘 ILS,365.86
덴마크 DKK,197.18
노르웨이 NOK,126.82
사우디아라비아 SAR,361.01
쿠웨이트 KWD,"4,404.72"
바레인 BHD,"3,591.87"
아랍에미리트 AED,368.71
요르단 JOD,"1,909.87"
이집트 EGP,28.48
태국 THB,36.94
싱가포르 SGD,"1,005.08"
말레이시아 MYR,284.98
인도네시아 IDR 100,8.56
카타르 QAR,371.24
카자흐스탄 KZT,3.04
브루나이 BND,"1,005.08"
인도 INR,16.26
파키스탄 PKR,4.87
방글라데시 BDT,12.34
필리핀 PHP,23.97
멕시코 MXN,82.97
브라질 BRL,269.45
베트남 VND 100,5.43
남아프리카 공화국 ZAR,72.72
러시아 RUB,14.65
헝가리 HUF,3.77
폴란드 PLN,345.05
스리랑카 LKR,4.53
알제리 DZD,10.07
케냐 KES,10.42
콜롬비아 COP,0.36
탄자니아 TZS,0.52
네팔 NPR,10.16
루마니아 RON,296.03
리비아 LYD,279.96
마카오 MOP,167.79
미얀마 MMK,0.64
에티오피아 ETB,23.81
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.34
피지 FJD,604.06
