국가명,금액
미국 USD,"1,480.91"
유럽연합 EUR,"1,480.91"
일본 JPY (100엔),867.29
중국 CNY,187.78
홍콩 HKD,174.64
대만 TWD,42.34
영국 GBP,"1,740.45"
오만 OMR,"3,543.47"
캐나다 CAD,999.16
스위스 CHF,"1,495.34"
스웨덴 SEK,128.97
호주 AUD,906.99
뉴질랜드 NZD,837.48
체코 CZK,60.05
칠레 CLP,1.52
튀르키예 TRY,42.31
몽골 MNT,0.40
이스라엘 ILS,370.13
덴마크 DKK,198.48
노르웨이 NOK,129.76
사우디아라비아 SAR,363.74
쿠웨이트 KWD,"4,447.56"
바레인 BHD,"3,618.57"
아랍에미리트 AED,371.40
요르단 JOD,"1,924.12"
이집트 EGP,28.66
태국 THB,37.22
싱가포르 SGD,"1,011.19"
말레이시아 MYR,290.39
인도네시아 IDR 100,8.50
카타르 QAR,374.26
카자흐스탄 KZT,3.08
브루나이 BND,"1,011.19"
인도 INR,16.39
파키스탄 PKR,4.90
방글라데시 BDT,11.63
필리핀 PHP,23.46
멕시코 MXN,81.23
브라질 BRL,264.34
베트남 VND 100,5.36
남아프리카 공화국 ZAR,74.56
러시아 RUB,15.40
헝가리 HUF,3.85
폴란드 PLN,348.13
스리랑카 LKR,4.52
알제리 DZD,10.14
케냐 KES,10.30
콜롬비아 COP,0.36
탄자니아 TZS,0.52
네팔 NPR,10.25
루마니아 RON,297.69
리비아 LYD,282.03
마카오 MOP,169.47
미얀마 MMK,0.65
에티오피아 ETB,23.74
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.33
피지 FJD,603.93
