국가명,금액
미국 USD,"1,472.55"
유럽연합 EUR,"1,472.55"
일본 JPY (100엔),888.25
중국 CNY,189.44
홍콩 HKD,175.87
대만 TWD,42.21
영국 GBP,"1,712.92"
오만 OMR,"3,577.92"
캐나다 CAD,"1,004.45"
스위스 CHF,"1,508.10"
스웨덴 SEK,126.47
호주 AUD,894.27
뉴질랜드 NZD,816.44
체코 CZK,58.31
칠레 CLP,1.44
튀르키예 TRY,42.36
몽골 MNT,0.41
이스라엘 ILS,364.23
덴마크 DKK,197.45
노르웨이 NOK,125.21
사우디아라비아 SAR,367.26
쿠웨이트 KWD,"4,472.40"
바레인 BHD,"3,653.56"
아랍에미리트 AED,375.07
요르단 JOD,"1,942.88"
이집트 EGP,28.76
태국 THB,37.20
싱가포르 SGD,"1,011.42"
말레이시아 MYR,288.33
인도네시아 IDR 100,8.55
카타르 QAR,377.66
카자흐스탄 KZT,3.10
브루나이 BND,"1,011.42"
인도 INR,16.53
파키스탄 PKR,4.95
방글라데시 BDT,12.55
필리핀 PHP,23.94
멕시코 MXN,80.57
브라질 BRL,266.45
베트남 VND 100,5.42
남아프리카 공화국 ZAR,71.58
러시아 RUB,14.93
헝가리 HUF,3.74
폴란드 PLN,340.08
스리랑카 LKR,4.62
알제리 DZD,10.23
케냐 KES,10.24
콜롬비아 COP,0.35
탄자니아 TZS,0.53
네팔 NPR,10.33
루마니아 RON,295.84
리비아 LYD,282.23
마카오 MOP,170.65
미얀마 MMK,0.66
에티오피아 ETB,24.19
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.34
피지 FJD,600.73
