국가명,금액
미국 USD,"1,504.31"
유럽연합 EUR,"1,504.31"
일본 JPY (100엔),901.05
중국 CNY,190.77
홍콩 HKD,177.46
대만 TWD,42.22
영국 GBP,"1,783.69"
오만 OMR,"3,598.70"
캐나다 CAD,"1,001.66"
스위스 CHF,"1,568.19"
스웨덴 SEK,128.04
호주 AUD,907.64
뉴질랜드 NZD,816.06
체코 CZK,59.34
칠레 CLP,1.45
튀르키예 TRY,42.05
몽골 MNT,0.41
이스라엘 ILS,378.51
덴마크 DKK,201.57
노르웨이 NOK,125.70
사우디아라비아 SAR,369.31
쿠웨이트 KWD,"4,529.85"
바레인 BHD,"3,675.16"
아랍에미리트 AED,377.22
요르단 JOD,"1,954.16"
이집트 EGP,28.66
태국 THB,38.59
싱가포르 SGD,"1,032.11"
말레이시아 MYR,297.48
인도네시아 IDR 100,8.52
카타르 QAR,379.94
카자흐스탄 KZT,2.93
브루나이 BND,"1,032.11"
인도 INR,16.55
파키스탄 PKR,4.98
방글라데시 BDT,11.79
필리핀 PHP,23.75
멕시코 MXN,75.08
브라질 BRL,245.00
베트남 VND 100,5.48
남아프리카 공화국 ZAR,75.71
러시아 RUB,16.09
헝가리 HUF,3.85
폴란드 PLN,351.94
스리랑카 LKR,4.57
알제리 DZD,10.30
케냐 KES,10.56
콜롬비아 COP,0.34
탄자니아 TZS,0.51
네팔 NPR,10.34
루마니아 RON,302.61
리비아 LYD,286.74
마카오 MOP,172.20
미얀마 MMK,0.66
에티오피아 ETB,23.97
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.34
피지 FJD,613.08
