

미국 USD,"1,336.90","1,360.29","1,313.51","1,350.00","1,323.80",1.000
유럽연합 EUR,"1,440.51","1,469.17","1,411.85","1,454.91","1,426.11",1.078
일본 JPY (100엔),889.87,905.44,874.30,898.59,881.15,0.666
중국 CNY,185.34,194.60,176.08,187.19,183.49,0.139
홍콩 HKD,170.94,174.30,167.58,172.64,169.24,0.128
대만 TWD,42.54,48.11,38.29,N/A,N/A,0.032
영국 GBP,"1,682.89","1,716.04","1,649.74","1,699.71","1,666.07",1.259
오만 OMR,"3,472.56","3,715.63","3,229.49",N/A,N/A,2.598
캐나다 CAD,990.33,"1,009.83",970.83,"1,000.23",980.43,0.741
스위스 CHF,"1,514.39","1,544.22","1,484.56","1,529.53","1,499.25",1.133
스웨덴 SEK,128.58,132.82,121.26,129.86,127.30,0.096
호주 AUD,873.00,890.19,855.81,881.73,864.27,0.653
뉴질랜드 NZD,821.32,837.50,805.14,829.53,813.11,0.614
체코 CZK,56.54,61.34,51.46,57.16,55.92,0.042
칠레 CLP,1.38,1.51,1.25,N/A,N/A,0.001
튀르키예 TRY,43.31,N/A,N/A,43.78,42.84,0.032
몽골 MNT,0.39,N/A,N/A,N/A,N/A,0.000
이스라엘 ILS,367.87,404.65,338.45,N/A,N/A,0.275
덴마크 DKK,193.25,199.62,182.24,195.18,191.32,0.145
노르웨이 NOK,127.39,131.59,120.13,128.66,126.12,0.095
사우디아라비아 SAR,356.48,378.93,331.89,360.04,352.92,0.267
쿠웨이트 KWD,"4,340.87","4,623.02","3,993.61","4,384.27","4,297.47",3.247
바레인 BHD,"3,546.34","3,773.30","3,262.64","3,581.80","3,510.88",2.653
아랍에미리트 AED,364.00,384.02,338.89,367.64,360.36,0.272
요르단 JOD,"1,885.21","2,052.99","1,734.40",N/A,N/A,1.410
이집트 EGP,43.27,N/A,N/A,N/A,N/A,0.032
태국 THB,37.03,38.88,34.81,37.40,36.66,0.028
싱가포르 SGD,992.91,"1,012.66",973.16,"1,002.83",982.99,0.743
말레이시아 MYR,279.28,299.94,258.62,N/A,276.49,0.209
인도네시아 IDR 100,8.57,9.42,7.72,8.65,8.49,0.006
카타르 QAR,366.60,N/A,N/A,N/A,N/A,0.274
카자흐스탄 KZT,2.97,N/A,N/A,N/A,N/A,0.002
브루나이 BND,992.91,"1,032.62",933.34,N/A,N/A,0.743
인도 INR,16.10,N/A,N/A,N/A,N/A,0.012
파키스탄 PKR,4.78,N/A,N/A,N/A,N/A,0.004
방글라데시 BDT,12.18,N/A,N/A,N/A,N/A,0.009
필리핀 PHP,23.87,26.25,21.92,24.10,23.64,0.018
멕시코 MXN,78.42,86.65,70.19,79.20,77.64,0.059
브라질 BRL,269.71,297.22,242.74,N/A,266.48,0.202
베트남 VND 100,5.45,6.09,4.81,5.50,5.40,0.004
남아프리카 공화국 ZAR,70.51,76.15,64.87,71.35,69.67,0.053
러시아 RUB,14.48,15.85,11.95,14.98,13.98,0.011
헝가리 HUF,3.70,4.04,3.41,3.74,3.66,0.003
폴란드 PLN,332.87,359.49,306.25,336.53,329.21,0.249
스리랑카 LKR,4.28,N/A,N/A,N/A,N/A,0.003
알제리 DZD,9.94,N/A,N/A,N/A,N/A,0.007
케냐 KES,9.19,N/A,N/A,N/A,N/A,0.007
콜롬비아 COP,0.34,N/A,N/A,N/A,N/A,0.000
탄자니아 TZS,0.52,N/A,N/A,N/A,N/A,0.000
네팔 NPR,10.06,N/A,N/A,N/A,N/A,0.008
루마니아 RON,289.42,N/A,N/A,N/A,N/A,0.217
리비아 LYD,275.74,N/A,N/A,278.49,272.99,0.206
마카오 MOP,165.83,N/A,N/A,N/A,N/A,0.124
미얀마 MMK,0.64,N/A,N/A,N/A,N/A,0.001
에티오피아 ETB,23.59,N/A,N/A,N/A,N/A,0.018
우즈베키스탄 UZS,0.11,N/A,N/A,N/A,N/A,0.000
캄보디아 KHR,0.33,N/A,N/A,N/A,N/A,0.000
피지 FJD,589.97,N/A,N/A,N/A,N/A,0.441
