국가명,금액
미국 USD,"1,482.41"
유럽연합 EUR,"1,482.41"
일본 JPY (100엔),923.11
중국 CNY,188.52
홍콩 HKD,171.99
대만 TWD,41.72
영국 GBP,"1,757.78"
오만 OMR,"3,483.21"
캐나다 CAD,990.22
스위스 CHF,"1,580.34"
스웨덴 SEK,130.23
호주 AUD,898.40
뉴질랜드 NZD,828.13
체코 CZK,59.01
칠레 CLP,1.44
튀르키예 TRY,39.44
몽골 MNT,0.40
이스라엘 ILS,363.30
덴마크 DKK,198.71
노르웨이 NOK,125.35
사우디아라비아 SAR,357.30
쿠웨이트 KWD,"4,389.38"
바레인 BHD,"3,561.75"
아랍에미리트 AED,365.11
요르단 JOD,"1,891.40"
이집트 EGP,27.65
태국 THB,39.14
싱가포르 SGD,"1,026.01"
말레이시아 MYR,308.10
인도네시아 IDR 100,8.67
카타르 QAR,367.90
카자흐스탄 KZT,2.78
브루나이 BND,"1,026.01"
인도 INR,15.97
파키스탄 PKR,4.81
방글라데시 BDT,11.22
필리핀 PHP,23.71
멕시코 MXN,67.72
브라질 BRL,237.37
베트남 VND 100,5.39
남아프리카 공화국 ZAR,74.59
러시아 RUB,15.20
헝가리 HUF,3.76
폴란드 PLN,346.18
스리랑카 LKR,4.48
알제리 DZD,10.08
케냐 KES,10.40
콜롬비아 COP,0.32
탄자니아 TZS,0.49
네팔 NPR,9.98
루마니아 RON,298.08
리비아 LYD,281.70
마카오 MOP,166.89
미얀마 MMK,0.64
에티오피아 ETB,12.06
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.33
피지 FJD,604.66
