국가명,금액
미국 USD,"1,489.97"
유럽연합 EUR,"1,489.97"
일본 JPY (100엔),921.29
중국 CNY,187.53
홍콩 HKD,171.72
대만 TWD,41.88
영국 GBP,"1,754.69"
오만 OMR,"3,478.01"
캐나다 CAD,984.81
스위스 CHF,"1,574.37"
스웨덴 SEK,130.92
호주 AUD,899.21
뉴질랜드 NZD,823.95
체코 CZK,59.40
칠레 CLP,1.46
튀르키예 TRY,39.42
몽골 MNT,0.40
이스라엘 ILS,360.94
덴마크 DKK,199.70
노르웨이 NOK,126.56
사우디아라비아 SAR,356.86
쿠웨이트 KWD,"4,381.11"
바레인 BHD,"3,551.82"
아랍에미리트 AED,364.57
요르단 JOD,"1,888.58"
이집트 EGP,27.45
태국 THB,38.95
싱가포르 SGD,"1,023.82"
말레이시아 MYR,305.57
인도네시아 IDR 100,8.58
카타르 QAR,367.31
카자흐스탄 KZT,2.79
브루나이 BND,"1,023.82"
인도 INR,15.96
파키스탄 PKR,4.81
방글라데시 BDT,11.21
필리핀 PHP,23.74
멕시코 MXN,68.62
브라질 BRL,239.42
베트남 VND 100,5.36
남아프리카 공화국 ZAR,74.41
러시아 RUB,14.66
헝가리 HUF,3.79
폴란드 PLN,347.80
스리랑카 LKR,4.45
알제리 DZD,9.99
케냐 KES,10.38
콜롬비아 COP,0.33
탄자니아 TZS,0.49
네팔 NPR,9.97
루마니아 RON,299.37
리비아 LYD,280.17
마카오 MOP,166.65
미얀마 MMK,0.64
에티오피아 ETB,12.26
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.33
피지 FJD,604.16
