국가명,금액
미국 USD,"1,492.31"
유럽연합 EUR,"1,492.31"
일본 JPY (100엔),925.06
중국 CNY,187.38
홍콩 HKD,171.34
대만 TWD,41.82
영국 GBP,"1,770.53"
오만 OMR,"3,470.91"
캐나다 CAD,993.53
스위스 CHF,"1,584.70"
스웨덴 SEK,131.52
호주 AUD,908.82
뉴질랜드 NZD,835.39
체코 CZK,59.67
칠레 CLP,1.47
튀르키예 TRY,39.23
몽골 MNT,0.39
이스라엘 ILS,363.36
덴마크 DKK,200.04
노르웨이 NOK,127.58
사우디아라비아 SAR,356.13
쿠웨이트 KWD,"4,378.15"
바레인 BHD,"3,549.74"
아랍에미리트 AED,363.83
요르단 JOD,"1,884.77"
이집트 EGP,27.45
태국 THB,39.36
싱가포르 SGD,"1,025.64"
말레이시아 MYR,307.66
인도네시아 IDR 100,8.65
카타르 QAR,366.56
카자흐스탄 KZT,2.78
브루나이 BND,"1,025.64"
인도 INR,15.92
파키스탄 PKR,4.79
방글라데시 BDT,11.18
필리핀 PHP,23.78
멕시코 MXN,67.75
브라질 BRL,242.55
베트남 VND 100,5.38
남아프리카 공화국 ZAR,75.30
러시아 RUB,14.60
헝가리 HUF,3.80
폴란드 PLN,348.46
스리랑카 LKR,4.45
알제리 DZD,9.98
케냐 KES,10.36
콜롬비아 COP,0.33
탄자니아 TZS,0.49
네팔 NPR,9.95
루마니아 RON,299.78
리비아 LYD,280.71
마카오 MOP,166.27
미얀마 MMK,0.64
에티오피아 ETB,12.01
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.33
피지 FJD,607.35
