국가명,금액
미국 USD,"1,457.64"
유럽연합 EUR,"1,457.64"
일본 JPY (100엔),919.08
중국 CNY,186.80
홍콩 HKD,168.05
대만 TWD,41.33
영국 GBP,"1,748.52"
오만 OMR,"3,391.08"
캐나다 CAD,966.72
스위스 CHF,"1,552.53"
스웨덴 SEK,129.47
호주 AUD,905.76
뉴질랜드 NZD,832.39
체코 CZK,58.00
칠레 CLP,1.45
튀르키예 TRY,38.20
몽골 MNT,0.39
이스라엘 ILS,352.52
덴마크 DKK,195.48
노르웨이 NOK,124.43
사우디아라비아 SAR,348.03
쿠웨이트 KWD,"4,280.80"
바레인 BHD,"3,463.22"
아랍에미리트 AED,355.46
요르단 JOD,"1,841.47"
이집트 EGP,26.98
태국 THB,40.53
싱가포르 SGD,"1,020.20"
말레이시아 MYR,318.05
인도네시아 IDR 100,8.65
카타르 QAR,358.19
카자흐스탄 KZT,2.71
브루나이 BND,"1,020.20"
인도 INR,15.58
파키스탄 PKR,4.70
방글라데시 BDT,10.93
필리핀 PHP,23.34
멕시코 MXN,66.28
브라질 BRL,240.23
베트남 VND 100,5.32
남아프리카 공화국 ZAR,76.44
러시아 RUB,14.03
헝가리 HUF,3.67
폴란드 PLN,340.94
스리랑카 LKR,4.39
알제리 DZD,9.88
케냐 KES,10.12
콜롬비아 COP,0.31
탄자니아 TZS,0.48
네팔 NPR,9.74
루마니아 RON,292.95
리비아 LYD,275.28
마카오 MOP,163.08
미얀마 MMK,0.62
에티오피아 ETB,11.09
우즈베키스탄 UZS,0.10
캄보디아 KHR,0.32
피지 FJD,599.53
