국가명,금액
미국 USD,"1,473.01"
유럽연합 EUR,"1,473.01"
일본 JPY (100엔),902.54
중국 CNY,192.21
홍콩 HKD,178.79
대만 TWD,42.98
영국 GBP,"1,763.18"
오만 OMR,"3,613.74"
캐나다 CAD,993.50
스위스 CHF,"1,574.69"
스웨덴 SEK,127.37
호주 AUD,906.64
뉴질랜드 NZD,820.65
체코 CZK,58.25
칠레 CLP,1.43
튀르키예 TRY,40.28
몽골 MNT,0.41
이스라엘 ILS,373.32
덴마크 DKK,197.46
노르웨이 NOK,126.40
사우디아라비아 SAR,370.62
쿠웨이트 KWD,"4,526.79"
바레인 BHD,"3,691.11"
아랍에미리트 AED,378.82
요르단 JOD,"1,960.41"
이집트 EGP,28.15
태국 THB,40.20
싱가포르 SGD,"1,039.56"
말레이시아 MYR,311.45
인도네시아 IDR 100,8.81
카타르 QAR,381.63
카자흐스탄 KZT,2.79
브루나이 BND,"1,039.56"
인도 INR,16.48
파키스탄 PKR,5.01
방글라데시 BDT,11.64
필리핀 PHP,23.66
멕시코 MXN,68.89
브라질 BRL,242.08
베트남 VND 100,5.48
남아프리카 공화국 ZAR,77.56
러시아 RUB,13.91
헝가리 HUF,3.63
폴란드 PLN,341.33
스리랑카 LKR,4.78
알제리 DZD,10.43
케냐 KES,10.74
콜롬비아 COP,0.32
탄자니아 TZS,0.52
네팔 NPR,10.30
루마니아 RON,295.96
리비아 LYD,284.87
마카오 MOP,173.49
미얀마 MMK,0.66
에티오피아 ETB,11.30
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.34
피지 FJD,613.75
