국가명,금액
미국 USD,"1,475.84"
유럽연합 EUR,"1,475.84"
일본 JPY (100엔),875.52
중국 CNY,189.72
홍콩 HKD,176.57
대만 TWD,42.62
영국 GBP,"1,749.00"
오만 OMR,"3,581.65"
캐나다 CAD,"1,003.75"
스위스 CHF,"1,548.28"
스웨덴 SEK,131.06
호주 AUD,910.76
뉴질랜드 NZD,845.13
체코 CZK,59.66
칠레 CLP,1.48
튀르키예 TRY,42.05
몽골 MNT,0.41
이스라엘 ILS,370.52
덴마크 DKK,197.82
노르웨이 NOK,129.05
사우디아라비아 SAR,367.66
쿠웨이트 KWD,"4,495.04"
바레인 BHD,"3,657.66"
아랍에미리트 AED,375.42
요르단 JOD,"1,944.85"
이집트 EGP,28.90
태국 THB,37.55
싱가포르 SGD,"1,019.48"
말레이시아 MYR,292.17
인도네시아 IDR 100,8.43
카타르 QAR,378.26
카자흐스탄 KZT,3.05
브루나이 BND,"1,019.48"
인도 INR,16.51
파키스탄 PKR,4.95
방글라데시 BDT,11.74
필리핀 PHP,23.49
멕시코 MXN,74.55
브라질 BRL,256.48
베트남 VND 100,5.42
남아프리카 공화국 ZAR,75.12
러시아 RUB,15.39
헝가리 HUF,3.70
폴란드 PLN,337.04
스리랑카 LKR,4.54
알제리 DZD,10.23
케냐 KES,10.69
콜롬비아 COP,0.33
탄자니아 TZS,0.53
네팔 NPR,10.31
루마니아 RON,296.56
리비아 LYD,284.41
마카오 MOP,171.42
미얀마 MMK,0.66
에티오피아 ETB,23.91
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.34
피지 FJD,608.92
