국가명,금액
미국 USD,"1,510.27"
유럽연합 EUR,"1,510.27"
일본 JPY (100엔),886.16
중국 CNY,189.93
홍콩 HKD,176.81
대만 TWD,42.47
영국 GBP,"1,795.89"
오만 OMR,"3,585.81"
캐나다 CAD,"1,009.10"
스위스 CHF,"1,563.95"
스웨덴 SEK,130.91
호주 AUD,928.80
뉴질랜드 NZD,839.21
체코 CZK,59.77
칠레 CLP,1.49
튀르키예 TRY,41.70
몽골 MNT,0.41
이스라엘 ILS,379.53
덴마크 DKK,202.45
노르웨이 NOK,128.74
사우디아라비아 SAR,368.05
쿠웨이트 KWD,"4,518.82"
바레인 BHD,"3,661.90"
아랍에미리트 AED,375.85
요르단 JOD,"1,947.11"
이집트 EGP,28.64
태국 THB,38.43
싱가포르 SGD,"1,030.19"
말레이시아 MYR,296.02
인도네시아 IDR 100,8.59
카타르 QAR,378.57
카자흐스탄 KZT,2.90
브루나이 BND,"1,030.19"
인도 INR,16.52
파키스탄 PKR,4.96
방글라데시 BDT,11.75
필리핀 PHP,23.69
멕시코 MXN,77.88
브라질 BRL,251.43
베트남 VND 100,5.45
남아프리카 공화국 ZAR,75.86
러시아 RUB,15.60
헝가리 HUF,3.86
폴란드 PLN,351.89
스리랑카 LKR,4.54
알제리 DZD,10.26
케냐 KES,10.60
콜롬비아 COP,0.35
탄자니아 TZS,0.52
네팔 NPR,10.32
루마니아 RON,303.86
리비아 LYD,285.78
마카오 MOP,171.53
미얀마 MMK,0.66
에티오피아 ETB,23.89
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.34
피지 FJD,619.71
