국가명,금액
미국 USD,"1,487.47"
유럽연합 EUR,"1,487.47"
일본 JPY (100엔),871.23
중국 CNY,190.78
홍콩 HKD,178.21
대만 TWD,42.97
영국 GBP,"1,759.68"
오만 OMR,"3,613.17"
캐나다 CAD,"1,015.70"
스위스 CHF,"1,555.67"
스웨덴 SEK,132.40
호주 AUD,923.97
뉴질랜드 NZD,851.15
체코 CZK,59.62
칠레 CLP,1.48
튀르키예 TRY,42.35
몽골 MNT,0.41
이스라엘 ILS,370.27
덴마크 DKK,199.41
노르웨이 NOK,131.58
사우디아라비아 SAR,370.78
쿠웨이트 KWD,"4,533.46"
바레인 BHD,"3,690.14"
아랍에미리트 AED,378.71
요르단 JOD,"1,961.92"
이집트 EGP,29.16
태국 THB,37.85
싱가포르 SGD,"1,026.64"
말레이시아 MYR,295.14
인도네시아 IDR 100,8.47
카타르 QAR,381.57
카자흐스탄 KZT,2.99
브루나이 BND,"1,026.64"
인도 INR,16.65
파키스탄 PKR,4.99
방글라데시 BDT,11.84
필리핀 PHP,23.63
멕시코 MXN,76.74
브라질 BRL,256.03
베트남 VND 100,5.47
남아프리카 공화국 ZAR,77.40
러시아 RUB,15.61
헝가리 HUF,3.75
폴란드 PLN,343.90
스리랑카 LKR,4.56
알제리 DZD,10.33
케냐 KES,10.82
콜롬비아 COP,0.34
탄자니아 TZS,0.53
네팔 NPR,10.41
루마니아 RON,298.93
리비아 LYD,286.90
마카오 MOP,172.95
미얀마 MMK,0.66
에티오피아 ETB,24.11
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.34
피지 FJD,620.25
