국가명,금액
미국 USD,"1,467.05"
유럽연합 EUR,"1,467.05"
일본 JPY (100엔),869.13
중국 CNY,186.90
홍콩 HKD,173.05
대만 TWD,42.01
영국 GBP,"1,709.19"
오만 OMR,"3,507.70"
캐나다 CAD,990.97
스위스 CHF,"1,492.51"
스웨덴 SEK,126.10
호주 AUD,899.70
뉴질랜드 NZD,824.21
체코 CZK,59.32
칠레 CLP,1.49
튀르키예 TRY,42.02
몽골 MNT,0.40
이스라엘 ILS,366.05
덴마크 DKK,196.63
노르웨이 NOK,126.05
사우디아라비아 SAR,360.09
쿠웨이트 KWD,"4,397.73"
바레인 BHD,"3,582.13"
아랍에미리트 AED,367.68
요르단 JOD,"1,904.80"
이집트 EGP,28.83
태국 THB,37.30
싱가포르 SGD,"1,002.93"
말레이시아 MYR,288.38
인도네시아 IDR 100,8.50
카타르 QAR,370.46
카자흐스탄 KZT,3.05
브루나이 BND,"1,002.93"
인도 INR,16.18
파키스탄 PKR,4.85
방글라데시 BDT,11.53
필리핀 PHP,23.49
멕시코 MXN,80.74
브라질 BRL,263.71
베트남 VND 100,5.31
남아프리카 공화국 ZAR,74.09
러시아 RUB,14.87
헝가리 HUF,3.80
폴란드 PLN,344.03
스리랑카 LKR,4.49
알제리 DZD,10.06
케냐 KES,10.31
콜롬비아 COP,0.35
탄자니아 TZS,0.52
네팔 NPR,10.11
루마니아 RON,294.85
리비아 LYD,279.41
마카오 MOP,167.93
미얀마 MMK,0.64
에티오피아 ETB,23.51
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.33
피지 FJD,604.62
