국가명,금액
미국 USD,"1,494.07"
유럽연합 EUR,"1,494.07"
일본 JPY (100엔),915.95
중국 CNY,193.54
홍콩 HKD,177.53
대만 TWD,43.07
영국 GBP,"1,795.85"
오만 OMR,"3,585.12"
캐나다 CAD,998.37
스위스 CHF,"1,596.25"
스웨덴 SEK,130.97
호주 AUD,922.87
뉴질랜드 NZD,835.92
체코 CZK,59.12
칠레 CLP,1.45
튀르키예 TRY,40.35
몽골 MNT,0.41
이스라엘 ILS,365.04
덴마크 DKK,200.36
노르웨이 NOK,126.21
사우디아라비아 SAR,367.51
쿠웨이트 KWD,"4,504.72"
바레인 BHD,"3,660.72"
아랍에미리트 AED,375.76
요르단 JOD,"1,946.69"
이집트 EGP,28.36
태국 THB,41.18
싱가포르 SGD,"1,049.38"
말레이시아 MYR,319.38
인도네시아 IDR 100,8.89
카타르 QAR,378.55
카자흐스탄 KZT,2.86
브루나이 BND,"1,049.38"
인도 INR,16.42
파키스탄 PKR,4.97
방글라데시 BDT,11.55
필리핀 PHP,23.85
멕시코 MXN,69.18
브라질 BRL,242.60
베트남 VND 100,5.44
남아프리카 공화국 ZAR,78.57
러시아 RUB,14.32
헝가리 HUF,3.73
폴란드 PLN,346.20
스리랑카 LKR,4.71
알제리 DZD,10.32
케냐 KES,10.70
콜롬비아 COP,0.32
탄자니아 TZS,0.51
네팔 NPR,10.26
루마니아 RON,300.44
리비아 LYD,286.99
마카오 MOP,172.23
미얀마 MMK,0.66
에티오피아 ETB,11.46
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.34
피지 FJD,618.05
