국가명,금액
미국 USD,"1,451.36"
유럽연합 EUR,"1,451.36"
일본 JPY (100엔),885.70
중국 CNY,184.63
홍콩 HKD,171.52
대만 TWD,41.94
영국 GBP,"1,690.00"
오만 OMR,"3,483.12"
캐나다 CAD,988.03
스위스 CHF,"1,491.16"
스웨덴 SEK,127.70
호주 AUD,873.53
뉴질랜드 NZD,805.74
체코 CZK,57.28
칠레 CLP,1.38
튀르키예 TRY,41.71
몽골 MNT,0.39
이스라엘 ILS,370.31
덴마크 DKK,194.60
노르웨이 NOK,124.99
사우디아라비아 SAR,357.57
쿠웨이트 KWD,"4,357.15"
바레인 BHD,"3,557.31"
아랍에미리트 AED,365.15
요르단 JOD,"1,891.40"
이집트 EGP,28.75
태국 THB,36.84
싱가포르 SGD,994.88
말레이시아 MYR,282.88
인도네시아 IDR 100,8.52
카타르 QAR,367.70
카자흐스탄 KZT,2.98
브루나이 BND,994.88
인도 INR,16.09
파키스탄 PKR,4.82
방글라데시 BDT,12.22
필리핀 PHP,23.85
멕시코 MXN,79.88
브라질 BRL,269.49
베트남 VND 100,5.41
남아프리카 공화국 ZAR,70.69
러시아 RUB,14.54
헝가리 HUF,3.66
폴란드 PLN,336.44
스리랑카 LKR,4.42
알제리 DZD,9.95
케냐 KES,10.12
콜롬비아 COP,0.34
탄자니아 TZS,0.53
네팔 NPR,10.06
루마니아 RON,291.87
리비아 LYD,278.55
마카오 MOP,166.44
미얀마 MMK,0.64
에티오피아 ETB,23.61
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.33
피지 FJD,590.17
