국가명,금액
미국 USD,"1,467.45"
유럽연합 EUR,"1,467.45"
일본 JPY (100엔),892.80
중국 CNY,188.56
홍콩 HKD,174.54
대만 TWD,42.45
영국 GBP,"1,717.46"
오만 OMR,"3,553.34"
캐나다 CAD,999.63
스위스 CHF,"1,503.63"
스웨덴 SEK,127.53
호주 AUD,894.81
뉴질랜드 NZD,821.28
체코 CZK,57.84
칠레 CLP,1.43
튀르키예 TRY,42.16
몽골 MNT,0.40
이스라엘 ILS,365.84
덴마크 DKK,196.72
노르웨이 NOK,126.36
사우디아라비아 SAR,364.71
쿠웨이트 KWD,"4,442.57"
바레인 BHD,"3,628.74"
아랍에미리트 AED,372.50
요르단 JOD,"1,929.48"
이집트 EGP,28.77
태국 THB,37.53
싱가포르 SGD,"1,011.12"
말레이시아 MYR,288.15
인도네시아 IDR 100,8.65
카타르 QAR,375.05
카자흐스탄 KZT,3.06
브루나이 BND,"1,011.12"
인도 INR,16.42
파키스탄 PKR,4.92
방글라데시 BDT,12.46
필리핀 PHP,24.24
멕시코 MXN,83.22
브라질 BRL,268.66
베트남 VND 100,5.48
남아프리카 공화국 ZAR,73.07
러시아 RUB,14.66
헝가리 HUF,3.76
폴란드 PLN,344.24
스리랑카 LKR,4.58
알제리 DZD,10.15
케냐 KES,10.52
콜롬비아 COP,0.36
탄자니아 TZS,0.53
네팔 NPR,10.28
루마니아 RON,295.14
리비아 LYD,283.01
마카오 MOP,169.37
미얀마 MMK,0.65
에티오피아 ETB,24.05
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.34
피지 FJD,599.73
