국가명,금액
미국 USD,"1,487.04"
유럽연합 EUR,"1,487.04"
일본 JPY (100엔),869.23
중국 CNY,190.53
홍콩 HKD,177.93
대만 TWD,42.68
영국 GBP,"1,762.44"
오만 OMR,"3,613.78"
캐나다 CAD,"1,017.39"
스위스 CHF,"1,550.95"
스웨덴 SEK,132.03
호주 AUD,929.02
뉴질랜드 NZD,850.10
체코 CZK,59.87
칠레 CLP,1.48
튀르키예 TRY,42.17
몽골 MNT,0.41
이스라엘 ILS,371.45
덴마크 DKK,199.36
노르웨이 NOK,130.97
사우디아라비아 SAR,370.36
쿠웨이트 KWD,"4,531.22"
바레인 BHD,"3,685.97"
아랍에미리트 AED,378.29
요르단 JOD,"1,961.88"
이집트 EGP,28.72
태국 THB,37.76
싱가포르 SGD,"1,025.27"
말레이시아 MYR,294.95
인도네시아 IDR 100,8.48
카타르 QAR,381.15
카자흐스탄 KZT,3.00
브루나이 BND,"1,025.27"
인도 INR,16.63
파키스탄 PKR,4.98
방글라데시 BDT,11.83
필리핀 PHP,23.62
멕시코 MXN,76.87
브라질 BRL,254.88
베트남 VND 100,5.46
남아프리카 공화국 ZAR,76.04
러시아 RUB,15.90
헝가리 HUF,3.75
폴란드 PLN,345.66
스리랑카 LKR,4.55
알제리 DZD,10.33
케냐 KES,10.81
콜롬비아 COP,0.34
탄자니아 TZS,0.53
네팔 NPR,10.40
루마니아 RON,298.85
리비아 LYD,285.58
마카오 MOP,172.62
미얀마 MMK,0.66
에티오피아 ETB,24.07
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.34
피지 FJD,621.38
