국가명,금액
미국 USD,"1,470.99"
유럽연합 EUR,"1,470.99"
일본 JPY (100엔),895.14
중국 CNY,190.64
홍콩 HKD,176.74
대만 TWD,42.58
영국 GBP,"1,720.84"
오만 OMR,"3,595.42"
캐나다 CAD,"1,001.77"
스위스 CHF,"1,517.43"
스웨덴 SEK,126.40
호주 AUD,888.45
뉴질랜드 NZD,817.02
체코 CZK,58.42
칠레 CLP,1.41
튀르키예 TRY,42.57
몽골 MNT,0.41
이스라엘 ILS,368.44
덴마크 DKK,197.15
노르웨이 NOK,126.09
사우디아라비아 SAR,369.01
쿠웨이트 KWD,"4,493.13"
바레인 BHD,"3,671.72"
아랍에미리트 AED,376.90
요르단 JOD,"1,952.33"
이집트 EGP,28.54
태국 THB,37.75
싱가포르 SGD,"1,015.00"
말레이시아 MYR,288.89
인도네시아 IDR 100,8.58
카타르 QAR,379.49
카자흐스탄 KZT,3.09
브루나이 BND,"1,015.00"
인도 INR,16.55
파키스탄 PKR,4.97
방글라데시 BDT,12.61
필리핀 PHP,24.28
멕시코 MXN,81.30
브라질 BRL,261.82
베트남 VND 100,5.48
남아프리카 공화국 ZAR,72.75
러시아 RUB,14.70
헝가리 HUF,3.72
폴란드 PLN,336.93
스리랑카 LKR,4.61
알제리 DZD,10.27
케냐 KES,10.53
콜롬비아 COP,0.35
탄자니아 TZS,0.53
네팔 NPR,10.36
루마니아 RON,295.66
리비아 LYD,286.36
마카오 MOP,171.50
미얀마 MMK,0.66
에티오피아 ETB,24.33
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.34
피지 FJD,608.08
