국가명,금액
미국 USD,"1,470.45"
유럽연합 EUR,"1,470.45"
일본 JPY (100엔),887.74
중국 CNY,189.25
홍콩 HKD,175.39
대만 TWD,42.25
영국 GBP,"1,710.70"
오만 OMR,"3,568.83"
캐나다 CAD,"1,005.64"
스위스 CHF,"1,506.91"
스웨덴 SEK,127.05
호주 AUD,891.38
뉴질랜드 NZD,815.40
체코 CZK,58.29
칠레 CLP,1.44
튀르키예 TRY,42.20
몽골 MNT,0.40
이스라엘 ILS,364.79
덴마크 DKK,197.12
노르웨이 NOK,125.95
사우디아라비아 SAR,366.32
쿠웨이트 KWD,"4,460.46"
바레인 BHD,"3,644.47"
아랍에미리트 AED,374.10
요르단 JOD,"1,937.94"
이집트 EGP,28.60
태국 THB,37.23
싱가포르 SGD,"1,009.59"
말레이시아 MYR,287.45
인도네시아 IDR 100,8.49
카타르 QAR,376.70
카자흐스탄 KZT,3.10
브루나이 BND,"1,009.59"
인도 INR,16.50
파키스탄 PKR,4.93
방글라데시 BDT,12.52
필리핀 PHP,23.87
멕시코 MXN,80.97
브라질 BRL,267.72
베트남 VND 100,5.40
남아프리카 공화국 ZAR,71.91
러시아 RUB,14.74
헝가리 HUF,3.74
폴란드 PLN,341.20
스리랑카 LKR,4.57
알제리 DZD,10.23
케냐 KES,10.22
콜롬비아 COP,0.35
탄자니아 TZS,0.53
네팔 NPR,10.30
루마니아 RON,295.49
리비아 LYD,281.51
마카오 MOP,170.20
미얀마 MMK,0.65
에티오피아 ETB,24.13
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.34
피지 FJD,599.20
