국가명,금액
미국 USD,"1,499.88"
유럽연합 EUR,"1,499.88"
일본 JPY (100엔),907.20
중국 CNY,194.48
홍콩 HKD,178.75
대만 TWD,43.27
영국 GBP,"1,800.41"
오만 OMR,"3,608.43"
캐나다 CAD,999.75
스위스 CHF,"1,598.87"
스웨덴 SEK,130.91
호주 AUD,917.71
뉴질랜드 NZD,830.61
체코 CZK,59.32
칠레 CLP,1.46
튀르키예 TRY,40.50
몽골 MNT,0.41
이스라엘 ILS,372.76
덴마크 DKK,201.04
노르웨이 NOK,126.39
사우디아라비아 SAR,369.85
쿠웨이트 KWD,"4,530.36"
바레인 BHD,"3,684.32"
아랍에미리트 AED,378.19
요르단 JOD,"1,959.24"
이집트 EGP,28.52
태국 THB,41.16
싱가포르 SGD,"1,049.76"
말레이시아 MYR,319.44
인도네시아 IDR 100,8.90
카타르 QAR,380.99
카자흐스탄 KZT,2.86
브루나이 BND,"1,049.76"
인도 INR,16.52
파키스탄 PKR,5.00
방글라데시 BDT,11.62
필리핀 PHP,23.72
멕시코 MXN,69.62
브라질 BRL,243.38
베트남 VND 100,5.48
남아프리카 공화국 ZAR,78.62
러시아 RUB,14.28
헝가리 HUF,3.71
폴란드 PLN,345.17
스리랑카 LKR,4.73
알제리 DZD,10.42
케냐 KES,10.77
콜롬비아 COP,0.32
탄자니아 TZS,0.51
네팔 NPR,10.32
루마니아 RON,301.48
리비아 LYD,288.37
마카오 MOP,173.44
미얀마 MMK,0.66
에티오피아 ETB,11.38
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.34
피지 FJD,611.20
