국가명,금액
미국 USD,"1,455.64"
유럽연합 EUR,"1,455.64"
일본 JPY (100엔),891.16
중국 CNY,186.01
홍콩 HKD,172.41
대만 TWD,42.25
영국 GBP,"1,703.58"
오만 OMR,"3,503.99"
캐나다 CAD,997.23
스위스 CHF,"1,496.15"
스웨덴 SEK,126.25
호주 AUD,880.16
뉴질랜드 NZD,806.84
체코 CZK,57.64
칠레 CLP,1.38
튀르키예 TRY,41.60
몽골 MNT,0.40
이스라엘 ILS,367.09
덴마크 DKK,195.15
노르웨이 NOK,124.49
사우디아라비아 SAR,359.68
쿠웨이트 KWD,"4,385.00"
바레인 BHD,"3,578.15"
아랍에미리트 AED,367.34
요르단 JOD,"1,902.68"
이집트 EGP,28.49
태국 THB,37.10
싱가포르 SGD,"1,000.33"
말레이시아 MYR,285.47
인도네시아 IDR 100,8.49
카타르 QAR,369.94
카자흐스탄 KZT,3.02
브루나이 BND,"1,000.33"
인도 INR,16.18
파키스탄 PKR,4.85
방글라데시 BDT,12.29
필리핀 PHP,24.00
멕시코 MXN,81.46
브라질 BRL,269.01
베트남 VND 100,5.44
남아프리카 공화국 ZAR,71.70
러시아 RUB,14.62
헝가리 HUF,3.69
폴란드 PLN,339.37
스리랑카 LKR,4.50
알제리 DZD,10.02
케냐 KES,10.24
콜롬비아 COP,0.35
탄자니아 TZS,0.53
네팔 NPR,10.11
루마니아 RON,292.88
리비아 LYD,278.82
마카오 MOP,167.37
미얀마 MMK,0.64
에티오피아 ETB,23.74
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.33
피지 FJD,598.01
