국가명,금액
미국 USD,"1,475.96"
유럽연합 EUR,"1,475.96"
일본 JPY (100엔),906.63
중국 CNY,190.64
홍콩 HKD,173.62
대만 TWD,41.93
영국 GBP,"1,762.26"
오만 OMR,"3,504.87"
캐나다 CAD,980.70
스위스 CHF,"1,574.79"
스웨덴 SEK,129.65
호주 AUD,909.02
뉴질랜드 NZD,822.40
체코 CZK,58.27
칠레 CLP,1.45
튀르키예 TRY,39.34
몽골 MNT,0.40
이스라엘 ILS,358.27
덴마크 DKK,197.83
노르웨이 NOK,125.58
사우디아라비아 SAR,359.32
쿠웨이트 KWD,"4,401.38"
바레인 BHD,"3,578.68"
아랍에미리트 AED,367.34
요르단 JOD,"1,904.44"
이집트 EGP,27.77
태국 THB,40.50
싱가포르 SGD,"1,033.28"
말레이시아 MYR,314.72
인도네시아 IDR 100,8.67
카타르 QAR,370.05
카자흐스탄 KZT,2.78
브루나이 BND,"1,033.28"
인도 INR,16.05
파키스탄 PKR,4.86
방글라데시 BDT,11.29
필리핀 PHP,23.59
멕시코 MXN,69.36
브라질 BRL,241.66
베트남 VND 100,5.44
남아프리카 공화국 ZAR,77.38
러시아 RUB,14.02
헝가리 HUF,3.67
폴란드 PLN,343.24
스리랑카 LKR,4.61
알제리 DZD,10.14
케냐 KES,10.46
콜롬비아 COP,0.32
탄자니아 TZS,0.50
네팔 NPR,10.03
루마니아 RON,296.64
리비아 LYD,281.86
마카오 MOP,168.57
미얀마 MMK,0.64
에티오피아 ETB,11.27
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.33
피지 FJD,607.01
