국가명,금액
미국 USD,"1,453.04"
유럽연합 EUR,"1,453.04"
일본 JPY (100엔),896.23
중국 CNY,185.43
홍콩 HKD,170.92
대만 TWD,42.20
영국 GBP,"1,700.90"
오만 OMR,"3,471.52"
캐나다 CAD,987.37
스위스 CHF,"1,505.83"
스웨덴 SEK,128.11
호주 AUD,876.28
뉴질랜드 NZD,813.06
체코 CZK,57.60
칠레 CLP,1.41
튀르키예 TRY,41.33
몽골 MNT,0.39
이스라엘 ILS,365.89
덴마크 DKK,194.86
노르웨이 NOK,125.47
사우디아라비아 SAR,356.37
쿠웨이트 KWD,"4,348.32"
바레인 BHD,"3,547.92"
아랍에미리트 AED,363.91
요르단 JOD,"1,885.05"
이집트 EGP,28.37
태국 THB,37.15
싱가포르 SGD,997.95
말레이시아 MYR,283.25
인도네시아 IDR 100,8.54
카타르 QAR,366.47
카자흐스탄 KZT,2.97
브루나이 BND,997.95
인도 INR,16.12
파키스탄 PKR,4.80
방글라데시 BDT,12.18
필리핀 PHP,24.04
멕시코 MXN,79.40
브라질 BRL,265.66
베트남 VND 100,5.41
남아프리카 공화국 ZAR,70.51
러시아 RUB,14.57
헝가리 HUF,3.68
폴란드 PLN,336.12
스리랑카 LKR,4.39
알제리 DZD,9.93
케냐 KES,9.97
콜롬비아 COP,0.34
탄자니아 TZS,0.52
네팔 NPR,10.08
루마니아 RON,292.23
리비아 LYD,277.33
마카오 MOP,165.84
미얀마 MMK,0.64
에티오피아 ETB,23.53
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.33
피지 FJD,589.26
