국가명,금액
미국 USD,"1,495.70"
유럽연합 EUR,"1,495.70"
일본 JPY (100엔),902.35
중국 CNY,193.39
홍콩 HKD,177.50
대만 TWD,43.22
영국 GBP,"1,783.88"
오만 OMR,"3,585.62"
캐나다 CAD,989.36
스위스 CHF,"1,586.96"
스웨덴 SEK,128.47
호주 AUD,905.61
뉴질랜드 NZD,823.19
체코 CZK,59.05
칠레 CLP,1.44
튀르키예 TRY,40.21
몽골 MNT,0.40
이스라엘 ILS,367.90
덴마크 DKK,200.53
노르웨이 NOK,124.80
사우디아라비아 SAR,367.57
쿠웨이트 KWD,"4,499.97"
바레인 BHD,"3,661.51"
아랍에미리트 AED,375.86
요르단 JOD,"1,945.60"
이집트 EGP,28.21
태국 THB,40.62
싱가포르 SGD,"1,041.02"
말레이시아 MYR,315.29
인도네시아 IDR 100,8.80
카타르 QAR,378.69
카자흐스탄 KZT,2.82
브루나이 BND,"1,041.02"
인도 INR,16.42
파키스탄 PKR,4.96
방글라데시 BDT,11.55
필리핀 PHP,23.61
멕시코 MXN,68.09
브라질 BRL,235.11
베트남 VND 100,5.46
남아프리카 공화국 ZAR,78.18
러시아 RUB,14.05
헝가리 HUF,3.66
폴란드 PLN,342.95
스리랑카 LKR,4.71
알제리 DZD,10.36
케냐 KES,10.70
콜롬비아 COP,0.31
탄자니아 TZS,0.51
네팔 NPR,10.26
루마니아 RON,300.76
리비아 LYD,286.47
마카오 MOP,172.26
미얀마 MMK,0.66
에티오피아 ETB,11.24
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.34
피지 FJD,613.36
