국가명,금액
미국 USD,"1,451.99"
유럽연합 EUR,"1,451.99"
일본 JPY (100엔),882.00
중국 CNY,184.27
홍콩 HKD,169.79
대만 TWD,41.81
영국 GBP,"1,699.25"
오만 OMR,"3,449.18"
캐나다 CAD,985.67
스위스 CHF,"1,500.45"
스웨덴 SEK,128.07
호주 AUD,878.34
뉴질랜드 NZD,808.69
체코 CZK,57.59
칠레 CLP,1.38
튀르키예 TRY,40.96
몽골 MNT,0.39
이스라엘 ILS,363.88
덴마크 DKK,194.69
노르웨이 NOK,125.93
사우디아라비아 SAR,354.08
쿠웨이트 KWD,"4,322.73"
바레인 BHD,"3,525.09"
아랍에미리트 AED,361.57
요르단 JOD,"1,872.92"
이집트 EGP,28.31
태국 THB,36.96
싱가포르 SGD,992.19
말레이시아 MYR,281.93
인도네시아 IDR 100,8.47
카타르 QAR,364.11
카자흐스탄 KZT,2.95
브루나이 BND,992.19
인도 INR,15.99
파키스탄 PKR,4.77
방글라데시 BDT,12.10
필리핀 PHP,23.63
멕시코 MXN,79.59
브라질 BRL,267.36
베트남 VND 100,5.36
남아프리카 공화국 ZAR,70.98
러시아 RUB,14.39
헝가리 HUF,3.69
폴란드 PLN,336.74
스리랑카 LKR,4.37
알제리 DZD,9.86
케냐 KES,10.02
콜롬비아 COP,0.34
탄자니아 TZS,0.52
네팔 NPR,9.98
루마니아 RON,292.00
리비아 LYD,275.20
마카오 MOP,164.76
미얀마 MMK,0.63
에티오피아 ETB,23.38
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.33
피지 FJD,585.74
