국가명,금액
미국 USD,"1,448.99"
유럽연합 EUR,"1,448.99"
일본 JPY (100엔),879.98
중국 CNY,184.72
홍콩 HKD,170.57
대만 TWD,41.83
영국 GBP,"1,688.64"
오만 OMR,"3,465.03"
캐나다 CAD,985.99
스위스 CHF,"1,485.94"
스웨덴 SEK,127.46
호주 AUD,876.57
뉴질랜드 NZD,806.54
체코 CZK,57.25
칠레 CLP,1.37
튀르키예 TRY,41.47
몽골 MNT,0.39
이스라엘 ILS,369.51
덴마크 DKK,194.27
노르웨이 NOK,125.06
사우디아라비아 SAR,355.70
쿠웨이트 KWD,"4,338.63"
바레인 BHD,"3,541.28"
아랍에미리트 AED,363.24
요르단 JOD,"1,881.52"
이집트 EGP,28.60
태국 THB,36.73
싱가포르 SGD,992.86
말레이시아 MYR,282.94
인도네시아 IDR 100,8.54
카타르 QAR,365.78
카자흐스탄 KZT,2.96
브루나이 BND,992.86
인도 INR,16.03
파키스탄 PKR,4.79
방글라데시 BDT,12.15
필리핀 PHP,23.80
멕시코 MXN,79.68
브라질 BRL,268.09
베트남 VND 100,5.38
남아프리카 공화국 ZAR,70.84
러시아 RUB,14.52
헝가리 HUF,3.67
폴란드 PLN,336.47
스리랑카 LKR,4.39
알제리 DZD,9.91
케냐 KES,10.07
콜롬비아 COP,0.34
탄자니아 TZS,0.52
네팔 NPR,10.03
루마니아 RON,291.44
리비아 LYD,277.09
마카오 MOP,165.52
미얀마 MMK,0.64
에티오피아 ETB,23.49
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.33
피지 FJD,587.09
