국가명,금액
미국 USD,"1,494.66"
유럽연합 EUR,"1,494.66"
일본 JPY (100엔),919.96
중국 CNY,193.26
홍콩 HKD,177.26
대만 TWD,43.09
영국 GBP,"1,793.99"
오만 OMR,"3,578.11"
캐나다 CAD,996.85
스위스 CHF,"1,592.76"
스웨덴 SEK,130.73
호주 AUD,921.48
뉴질랜드 NZD,835.18
체코 CZK,59.15
칠레 CLP,1.44
튀르키예 TRY,40.21
몽골 MNT,0.41
이스라엘 ILS,368.65
덴마크 DKK,200.38
노르웨이 NOK,126.02
사우디아라비아 SAR,366.80
쿠웨이트 KWD,"4,496.78"
바레인 BHD,"3,653.46"
아랍에미리트 AED,375.03
요르단 JOD,"1,942.88"
이집트 EGP,28.34
태국 THB,41.25
싱가포르 SGD,"1,048.80"
말레이시아 MYR,320.16
인도네시아 IDR 100,8.91
카타르 QAR,377.81
카자흐스탄 KZT,2.86
브루나이 BND,"1,048.80"
인도 INR,16.39
파키스탄 PKR,4.96
방글라데시 BDT,11.53
필리핀 PHP,23.95
멕시코 MXN,69.07
브라질 BRL,242.10
베트남 VND 100,5.45
남아프리카 공화국 ZAR,78.20
러시아 RUB,14.33
헝가리 HUF,3.73
폴란드 PLN,346.32
스리랑카 LKR,4.70
알제리 DZD,10.33
케냐 KES,10.68
콜롬비아 COP,0.32
탄자니아 TZS,0.51
네팔 NPR,10.24
루마니아 RON,300.56
리비아 LYD,286.27
마카오 MOP,171.97
미얀마 MMK,0.66
에티오피아 ETB,11.46
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.34
피지 FJD,617.26
