국가명,금액
미국 USD,"1,470.39"
유럽연합 EUR,"1,470.39"
일본 JPY (100엔),879.54
중국 CNY,189.33
홍콩 HKD,175.11
대만 TWD,42.25
영국 GBP,"1,709.51"
오만 OMR,"3,555.16"
캐나다 CAD,996.76
스위스 CHF,"1,506.88"
스웨덴 SEK,125.37
호주 AUD,899.37
뉴질랜드 NZD,820.40
체코 CZK,58.78
칠레 CLP,1.46
튀르키예 TRY,42.37
몽골 MNT,0.40
이스라엘 ILS,368.57
덴마크 DKK,197.13
노르웨이 NOK,125.48
사우디아라비아 SAR,364.94
쿠웨이트 KWD,"4,450.19"
바레인 BHD,"3,630.60"
아랍에미리트 AED,372.64
요르단 JOD,"1,930.47"
이집트 EGP,28.78
태국 THB,37.02
싱가포르 SGD,"1,009.22"
말레이시아 MYR,288.50
인도네시아 IDR 100,8.55
카타르 QAR,375.35
카자흐스탄 KZT,3.11
브루나이 BND,"1,009.22"
인도 INR,16.40
파키스탄 PKR,4.91
방글라데시 BDT,12.47
필리핀 PHP,23.84
멕시코 MXN,80.84
브라질 BRL,268.85
베트남 VND 100,5.38
남아프리카 공화국 ZAR,73.62
러시아 RUB,14.92
헝가리 HUF,3.78
폴란드 PLN,341.90
스리랑카 LKR,4.58
알제리 DZD,10.16
케냐 KES,10.41
콜롬비아 COP,0.35
탄자니아 TZS,0.53
네팔 NPR,10.24
루마니아 RON,295.51
리비아 LYD,281.61
마카오 MOP,169.93
미얀마 MMK,0.65
에티오피아 ETB,23.84
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.34
피지 FJD,600.86
