국가명,금액
미국 USD,"1,514.37"
유럽연합 EUR,"1,514.37"
일본 JPY (100엔),883.58
중국 CNY,191.02
홍콩 HKD,178.16
대만 TWD,42.42
영국 GBP,"1,796.43"
오만 OMR,"3,614.29"
캐나다 CAD,"1,013.33"
스위스 CHF,"1,565.77"
스웨덴 SEK,130.29
호주 AUD,930.01
뉴질랜드 NZD,835.73
체코 CZK,60.03
칠레 CLP,1.47
튀르키예 TRY,42.13
몽골 MNT,0.41
이스라엘 ILS,381.75
덴마크 DKK,202.94
노르웨이 NOK,127.47
사우디아라비아 SAR,370.98
쿠웨이트 KWD,"4,548.87"
바레인 BHD,"3,691.37"
아랍에미리트 AED,378.85
요르단 JOD,"1,962.62"
이집트 EGP,28.84
태국 THB,38.25
싱가포르 SGD,"1,034.34"
말레이시아 MYR,296.85
인도네시아 IDR 100,8.61
카타르 QAR,381.59
카자흐스탄 KZT,2.93
브루나이 BND,"1,034.34"
인도 INR,16.63
파키스탄 PKR,5.00
방글라데시 BDT,11.84
필리핀 PHP,23.85
멕시코 MXN,77.04
브라질 BRL,248.47
베트남 VND 100,5.50
남아프리카 공화국 ZAR,76.15
러시아 RUB,15.87
헝가리 HUF,3.88
폴란드 PLN,353.24
스리랑카 LKR,4.58
알제리 DZD,10.34
케냐 KES,10.62
콜롬비아 COP,0.34
탄자니아 TZS,0.52
네팔 NPR,10.39
루마니아 RON,304.61
리비아 LYD,288.55
마카오 MOP,172.88
미얀마 MMK,0.66
에티오피아 ETB,24.08
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.34
피지 FJD,622.42
