국가명,금액
미국 USD,"1,482.17"
유럽연합 EUR,"1,482.17"
일본 JPY (100엔),874.65
중국 CNY,189.82
홍콩 HKD,176.81
대만 TWD,42.62
영국 GBP,"1,754.20"
오만 OMR,"3,585.81"
캐나다 CAD,"1,006.23"
스위스 CHF,"1,561.65"
스웨덴 SEK,132.20
호주 AUD,920.38
뉴질랜드 NZD,847.63
체코 CZK,59.67
칠레 CLP,1.47
튀르키예 TRY,42.27
몽골 MNT,0.41
이스라엘 ILS,371.30
덴마크 DKK,198.69
노르웨이 NOK,130.45
사우디아라비아 SAR,367.94
쿠웨이트 KWD,"4,500.70"
바레인 BHD,"3,661.90"
아랍에미리트 AED,375.85
요르단 JOD,"1,947.11"
이집트 EGP,28.94
태국 THB,37.62
싱가포르 SGD,"1,021.87"
말레이시아 MYR,293.19
인도네시아 IDR 100,8.44
카타르 QAR,378.61
카자흐스탄 KZT,3.00
브루나이 BND,"1,021.87"
인도 INR,16.56
파키스탄 PKR,4.96
방글라데시 BDT,11.75
필리핀 PHP,23.56
멕시코 MXN,74.99
브라질 BRL,253.71
베트남 VND 100,5.43
남아프리카 공화국 ZAR,76.50
러시아 RUB,16.19
헝가리 HUF,3.76
폴란드 PLN,341.78
스리랑카 LKR,4.53
알제리 DZD,10.26
케냐 KES,10.74
콜롬비아 COP,0.33
탄자니아 TZS,0.53
네팔 NPR,10.34
루마니아 RON,297.91
리비아 LYD,284.74
마카오 MOP,171.55
미얀마 MMK,0.66
에티오피아 ETB,23.93
우즈베키스탄 UZS,0.11
캄보디아 KHR,0.34
피지 FJD,611.15
