국가명,금액
미국 USD,"1,482.36"
유럽연합 EUR,"1,482.36"
일본 JPY (100엔),929.72
중국 CNY,189.03
홍콩 HKD,171.36
대만 TWD,41.63
영국 GBP,"1,781.29"
오만 OMR,"3,465.54"
캐나다 CAD,986.51
스위스 CHF,"1,575.30"
스웨덴 SEK,130.83
호주 AUD,911.73
뉴질랜드 NZD,836.21
체코 CZK,58.98
칠레 CLP,1.45
튀르키예 TRY,39.07
몽골 MNT,0.39
이스라엘 ILS,352.38
덴마크 DKK,198.74
노르웨이 NOK,127.28
사우디아라비아 SAR,355.59
쿠웨이트 KWD,"4,373.14"
바레인 BHD,"3,539.09"
아랍에미리트 AED,363.24
요르단 JOD,"1,881.81"
이집트 EGP,27.42
태국 THB,40.52
싱가포르 SGD,"1,033.58"
말레이시아 MYR,317.55
인도네시아 IDR 100,8.80
카타르 QAR,366.04
카자흐스탄 KZT,2.78
브루나이 BND,"1,033.58"
인도 INR,15.97
파키스탄 PKR,4.80
방글라데시 BDT,11.16
필리핀 PHP,23.82
멕시코 MXN,68.70
브라질 BRL,240.94
베트남 VND 100,5.42
남아프리카 공화국 ZAR,76.89
러시아 RUB,14.59
헝가리 HUF,3.75
폴란드 PLN,347.12
스리랑카 LKR,4.39
알제리 DZD,10.06
케냐 KES,10.34
콜롬비아 COP,0.32
탄자니아 TZS,0.49
네팔 NPR,9.98
루마니아 RON,297.98
리비아 LYD,281.20
마카오 MOP,166.23
미얀마 MMK,0.64
에티오피아 ETB,11.14
우즈베키스탄 UZS,0.10
캄보디아 KHR,0.33
피지 FJD,607.46
